office,district,candidate,party,reporting_level,jurisdiction,votes,vacancy
United States Representative,3,OVER VOTES,,county,Jasper,0,False
United States Representative,3,UNDER VOTES,,county,Jasper,0,False
United States Representative,3,SCATTERING,,county,Jasper,10,False
United States Representative,3,TOTAL,,county,Jasper,14613,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Keokuk,1704,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Keokuk,1914,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Keokuk,91,False
United States Representative,3,OVER VOTES,,county,Keokuk,2,False
United States Representative,3,UNDER VOTES,,county,Keokuk,210,False
United States Representative,3,SCATTERING,,county,Keokuk,1,False
United States Representative,3,TOTAL,,county,Keokuk,3922,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Lucas,1659,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Lucas,1635,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Lucas,63,False
United States Representative,3,OVER VOTES,,county,Lucas,0,False
United States Representative,3,UNDER VOTES,,county,Lucas,0,False
United States Representative,3,SCATTERING,,county,Lucas,2,False
United States Representative,3,TOTAL,,county,Lucas,3359,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Mahaska,2988,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Mahaska,4320,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Mahaska,106,False
United States Representative,3,OVER VOTES,,county,Mahaska,0,False
United States Representative,3,UNDER VOTES,,county,Mahaska,0,False
United States Representative,3,SCATTERING,,county,Mahaska,1,False
United States Representative,3,TOTAL,,county,Mahaska,7415,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Marion,5448,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Marion,6452,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Marion,136,False
United States Representative,3,OVER VOTES,,county,Marion,3,False
United States Representative,3,UNDER VOTES,,county,Marion,274,False
United States Representative,3,SCATTERING,,county,Marion,5,False
United States Representative,3,TOTAL,,county,Marion,12318,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Monroe,1436,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Monroe,1127,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Monroe,54,False
United States Representative,3,OVER VOTES,,county,Monroe,0,False
United States Representative,3,UNDER VOTES,,county,Monroe,99,False
United States Representative,3,SCATTERING,,county,Monroe,0,False
United States Representative,3,TOTAL,,county,Monroe,2716,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Polk,78132,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Polk,64863,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Polk,2023,False
United States Representative,3,OVER VOTES,,county,Polk,0,False
United States Representative,3,UNDER VOTES,,county,Polk,0,False
United States Representative,3,SCATTERING,,county,Polk,169,False
United States Representative,3,TOTAL,,county,Polk,145187,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Poweshiek,4015,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Poweshiek,3143,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Poweshiek,159,False
United States Representative,3,OVER VOTES,,county,Poweshiek,0,False
United States Representative,3,UNDER VOTES,,county,Poweshiek,165,False
United States Representative,3,SCATTERING,,county,Poweshiek,4,False
United States Representative,3,TOTAL,,county,Poweshiek,7486,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Tama,3329,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Tama,3147,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Tama,172,False
United States Representative,3,OVER VOTES,,county,Tama,0,False
United States Representative,3,UNDER VOTES,,county,Tama,153,False
United States Representative,3,SCATTERING,,county,Tama,5,False
United States Representative,3,TOTAL,,county,Tama,6806,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Total,115769,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Total,103722,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Total,3591,False
United States Representative,3,OVER VOTES,,county,Total,6,False
United States Representative,3,UNDER VOTES,,county,Total,1589,False
United States Representative,3,SCATTERING,,county,Total,205,False
United States Representative,3,TOTAL,,county,Total,224882,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Allamakee,2120,False
United States Representative,4,TOM LATHAM,Republican,county,Allamakee,2467,False
United States Representative,4,OVER VOTES,,county,Allamakee,1,False
United States Representative,4,UNDER VOTES,,county,Allamakee,0,False
United States Representative,4,SCATTERING,,county,Allamakee,1,False
United States Representative,4,TOTAL,,county,Allamakee,4589,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Boone,4321,False
United States Representative,4,TOM LATHAM,Republican,county,Boone,5302,False
United States Representative,4,OVER VOTES,,county,Boone,1,False
United States Representative,4,UNDER VOTES,,county,Boone,0,False
United States Representative,4,SCATTERING,,county,Boone,4,False
United States Representative,4,TOTAL,,county,Boone,9628,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Calhoun,1269,False
United States Representative,4,TOM LATHAM,Republican,county,Calhoun,2512,False
United States Representative,4,OVER VOTES,,county,Calhoun,0,False
United States Representative,4,UNDER VOTES,,county,Calhoun,263,False
United States Representative,4,SCATTERING,,county,Calhoun,3,False
United States Representative,4,TOTAL,,county,Calhoun,4047,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Cerro Gordo,8080,False
United States Representative,4,TOM LATHAM,Republican,county,Cerro Gordo,8806,False
United States Representative,4,OVER VOTES,,county,Cerro Gordo,5,False
United States Representative,4,UNDER VOTES,,county,Cerro Gordo,398,False
United States Representative,4,SCATTERING,,county,Cerro Gordo,9,False
United States Representative,4,TOTAL,,county,Cerro Gordo,17298,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Chickasaw,2165,False
United States Representative,4,TOM LATHAM,Republican,county,Chickasaw,2525,False
United States Representative,4,OVER VOTES,,county,Chickasaw,0,False
United States Representative,4,UNDER VOTES,,county,Chickasaw,385,False
United States Representative,4,SCATTERING,,county,Chickasaw,0,False
United States Representative,4,TOTAL,,county,Chickasaw,5075,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Dallas,7294,False
United States Representative,4,TOM LATHAM,Republican,county,Dallas,12136,False
United States Representative,4,OVER VOTES,,county,Dallas,4,False
United States Representative,4,UNDER VOTES,,county,Dallas,367,False
United States Representative,4,SCATTERING,,county,Dallas,9,False
United States Representative,4,TOTAL,,county,Dallas,19810,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Emmet,1313,False
United States Representative,4,TOM LATHAM,Republican,county,Emmet,1713,False
United States Representative,4,OVER VOTES,,county,Emmet,2,False
United States Representative,4,UNDER VOTES,,county,Emmet,118,False
United States Representative,4,SCATTERING,,county,Emmet,1,False
United States Representative,4,TOTAL,,county,Emmet,3147,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Floyd,2599,False
United States Representative,4,TOM LATHAM,Republican,county,Floyd,3337,False
United States Representative,4,OVER VOTES,,county,Floyd,0,False
United States Representative,4,UNDER VOTES,,county,Floyd,295,False
United States Representative,4,SCATTERING,,county,Floyd,4,False
United States Representative,4,TOTAL,,county,Floyd,6235,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Franklin,1228,False
United States Representative,4,TOM LATHAM,Republican,county,Franklin,2490,False
United States Representative,4,OVER VOTES,,county,Franklin,0,False
United States Representative,4,UNDER VOTES,,county,Franklin,0,False
United States Representative,4,SCATTERING,,county,Franklin,1,False
United States Representative,4,TOTAL,,county,Franklin,3719,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Greene,1480,False
United States Representative,4,TOM LATHAM,Republican,county,Greene,1990,False
United States Representative,4,OVER VOTES,,county,Greene,0,False
United States Representative,4,UNDER VOTES,,county,Greene,180,False
United States Representative,4,SCATTERING,,county,Greene,0,False
United States Representative,4,TOTAL,,county,Greene,3650,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Hamilton,2413,False
United States Representative,4,TOM LATHAM,Republican,county,Hamilton,3774,False
United States Representative,4,OVER VOTES,,county,Hamilton,1,False
United States Representative,4,UNDER VOTES,,county,Hamilton,231,False
United States Representative,4,SCATTERING,,county,Hamilton,0,False
United States Representative,4,TOTAL,,county,Hamilton,6419,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Hancock,1469,False
United States Representative,4,TOM LATHAM,Republican,county,Hancock,2610,False
United States Representative,4,OVER VOTES,,county,Hancock,1,False
United States Representative,4,UNDER VOTES,,county,Hancock,199,False
United States Representative,4,SCATTERING,,county,Hancock,3,False
United States Representative,4,TOTAL,,county,Hancock,4282,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Hardin,2662,False
United States Representative,4,TOM LATHAM,Republican,county,Hardin,3994,False
United States Representative,4,OVER VOTES,,county,Hardin,1,False
United States Representative,4,UNDER VOTES,,county,Hardin,221,False
United States Representative,4,SCATTERING,,county,Hardin,0,False
United States Representative,4,TOTAL,,county,Hardin,6878,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Howard,1593,False
United States Representative,4,TOM LATHAM,Republican,county,Howard,1623,False
United States Representative,4,OVER VOTES,,county,Howard,0,False
United States Representative,4,UNDER VOTES,,county,Howard,188,False
United States Representative,4,SCATTERING,,county,Howard,1,False
United States Representative,4,TOTAL,,county,Howard,3405,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Humboldt,1164,False
United States Representative,4,TOM LATHAM,Republican,county,Humboldt,2488,False
United States Representative,4,OVER VOTES,,county,Humboldt,1,False
United States Representative,4,UNDER VOTES,,county,Humboldt,143,False
United States Representative,4,SCATTERING,,county,Humboldt,1,False
United States Representative,4,TOTAL,,county,Humboldt,3797,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Kossuth,2480,False
United States Representative,4,TOM LATHAM,Republican,county,Kossuth,3756,False
United States Representative,4,OVER VOTES,,county,Kossuth,0,False
United States Representative,4,UNDER VOTES,,county,Kossuth,223,False
United States Representative,4,SCATTERING,,county,Kossuth,5,False
United States Representative,4,TOTAL,,county,Kossuth,6464,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Madison,2126,False
United States Representative,4,TOM LATHAM,Republican,county,Madison,3762,False
United States Representative,4,OVER VOTES,,county,Madison,2,False
United States Representative,4,UNDER VOTES,,county,Madison,0,False
United States Representative,4,SCATTERING,,county,Madison,4,False
United States Representative,4,TOTAL,,county,Madison,5894,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Marshall,6071,False
United States Representative,4,TOM LATHAM,Republican,county,Marshall,7427,False
United States Representative,4,OVER VOTES,,county,Marshall,3,False
United States Representative,4,UNDER VOTES,,county,Marshall,281,False
United States Representative,4,SCATTERING,,county,Marshall,12,False
United States Representative,4,TOTAL,,county,Marshall,13794,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Mitchell,1533,False
United States Representative,4,TOM LATHAM,Republican,county,Mitchell,2316,False
United States Representative,4,OVER VOTES,,county,Mitchell,1,False
United States Representative,4,UNDER VOTES,,county,Mitchell,230,False
United States Representative,4,SCATTERING,,county,Mitchell,1,False
United States Representative,4,TOTAL,,county,Mitchell,4081,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Palo Alto,1438,False
United States Representative,4,TOM LATHAM,Republican,county,Palo Alto,2091,False
United States Representative,4,OVER VOTES,,county,Palo Alto,1,False
United States Representative,4,UNDER VOTES,,county,Palo Alto,292,False
United States Representative,4,SCATTERING,,county,Palo Alto,0,False
United States Representative,4,TOTAL,,county,Palo Alto,3822,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Pocahontas,1033,False
United States Representative,4,TOM LATHAM,Republican,county,Pocahontas,1754,False
United States Representative,4,OVER VOTES,,county,Pocahontas,0,False
United States Representative,4,UNDER VOTES,,county,Pocahontas,123,False
United States Representative,4,SCATTERING,,county,Pocahontas,0,False
United States Representative,4,TOTAL,,county,Pocahontas,2910,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Story,15331,False
United States Representative,4,TOM LATHAM,Republican,county,Story,14298,False
United States Representative,4,OVER VOTES,,county,Story,0,False
United States Representative,4,UNDER VOTES,,county,Story,0,False
United States Representative,4,SCATTERING,,county,Story,17,False
United States Representative,4,TOTAL,,county,Story,29646,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Warren,7039,False
United States Representative,4,TOM LATHAM,Republican,county,Warren,9772,False
United States Representative,4,OVER VOTES,,county,Warren,0,False
United States Representative,4,UNDER VOTES,,county,Warren,877,False
United States Representative,4,SCATTERING,,county,Warren,8,False
United States Representative,4,TOTAL,,county,Warren,17696,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Webster,5219,False
United States Representative,4,TOM LATHAM,Republican,county,Webster,7573,False
United States Representative,4,OVER VOTES,,county,Webster,6,False
United States Representative,4,UNDER VOTES,,county,Webster,511,False
United States Representative,4,SCATTERING,,county,Webster,11,False
United States Representative,4,TOTAL,,county,Webster,13320,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Winnebago,1510,False
United States Representative,4,TOM LATHAM,Republican,county,Winnebago,2466,False
United States Representative,4,OVER VOTES,,county,Winnebago,0,False
United States Representative,4,UNDER VOTES,,county,Winnebago,199,False
United States Representative,4,SCATTERING,,county,Winnebago,0,False
United States Representative,4,TOTAL,,county,Winnebago,4175,False
United States Representative,4,SELDEN E. SPENCER,Democrat,county,Winneshiek,3032,False
United States Representative,4,TOM LATHAM,Republican,county,Winneshiek,3888,False
United States Representative,4,OVER VOTES,,county,Winneshiek,0,False
United States Representative,4,UNDER VOTES,,county,Winneshiek,0,False
United States Representative,4,SCATTERING,,county,Winneshiek,2,False
