office,candidate,party,county,votes
President/Vice President,Dukakis / Bentson,Democratic,BUENA VISTA,4580
President/Vice President,Scattering,,BUENA VISTA,7
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BUTLER,1
President/Vice President,Duke / Parker,Patriotic Party,BUTLER,6
President/Vice President,Bush / Quayle,Republican,BUTLER,3523
President/Vice President,Winn / Porster,Workers League,BUTLER,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,BUTLER,12
President/Vice President,Fulani / Dattner,New Alliance,BUTLER,3
President/Vice President,Warren / Mickells,Socialist Workers,BUTLER,1
President/Vice President,Paul / Marrou,Libertarian,BUTLER,6
President/Vice President,Dukakis / Bentson,Democratic,BUTLER,2593
President/Vice President,Scattering,,BUTLER,0
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CALHOUN,1
President/Vice President,Duke / Parker,Patriotic Party,CALHOUN,3
President/Vice President,Bush / Quayle,Republican,CALHOUN,2474
President/Vice President,Winn / Porster,Workers League,CALHOUN,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,CALHOUN,15
President/Vice President,Fulani / Dattner,New Alliance,CALHOUN,4
President/Vice President,Warren / Mickells,Socialist Workers,CALHOUN,0
President/Vice President,Paul / Marrou,Libertarian,CALHOUN,14
President/Vice President,Dukakis / Bentson,Democratic,CALHOUN,2990
President/Vice President,Scattering,,CALHOUN,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CARROLL,1
President/Vice President,Duke / Parker,Patriotic Party,CARROLL,7
President/Vice President,Bush / Quayle,Republican,CARROLL,3701
President/Vice President,Winn / Porster,Workers League,CARROLL,6
President/Vice President,La Rouche / Freeman,Nominated by Petition,CARROLL,79
President/Vice President,Fulani / Dattner,New Alliance,CARROLL,4
President/Vice President,Warren / Mickells,Socialist Workers,CARROLL,3
President/Vice President,Paul / Marrou,Libertarian,CARROLL,22
President/Vice President,Dukakis / Bentson,Democratic,CARROLL,5437
President/Vice President,Scattering,,CARROLL,13
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CASS,1
President/Vice President,Duke / Parker,Patriotic Party,CASS,8
President/Vice President,Bush / Quayle,Republican,CASS,3962
President/Vice President,Winn / Porster,Workers League,CASS,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,CASS,43
President/Vice President,Fulani / Dattner,New Alliance,CASS,1
President/Vice President,Warren / Mickells,Socialist Workers,CASS,0
President/Vice President,Paul / Marrou,Libertarian,CASS,12
President/Vice President,Dukakis / Bentson,Democratic,CASS,2934
President/Vice President,Scattering,,CASS,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CEDAR,1
President/Vice President,Duke / Parker,Patriotic Party,CEDAR,8
President/Vice President,Bush / Quayle,Republican,CEDAR,3373
President/Vice President,Winn / Porster,Workers League,CEDAR,3
President/Vice President,La Rouche / Freeman,Nominated by Petition,CEDAR,10
President/Vice President,Fulani / Dattner,New Alliance,CEDAR,5
President/Vice President,Warren / Mickells,Socialist Workers,CEDAR,3
President/Vice President,Paul / Marrou,Libertarian,CEDAR,16
President/Vice President,Dukakis / Bentson,Democratic,CEDAR,4032
President/Vice President,Scattering,,CEDAR,28
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CERRO GORDO,8
President/Vice President,Duke / Parker,Patriotic Party,CERRO GORDO,15
President/Vice President,Bush / Quayle,Republican,CERRO GORDO,9358
President/Vice President,Winn / Porster,Workers League,CERRO GORDO,3
President/Vice President,La Rouche / Freeman,Nominated by Petition,CERRO GORDO,74
President/Vice President,Fulani / Dattner,New Alliance,CERRO GORDO,7
President/Vice President,Warren / Mickells,Socialist Workers,CERRO GORDO,2
President/Vice President,Paul / Marrou,Libertarian,CERRO GORDO,36
President/Vice President,Dukakis / Bentson,Democratic,CERRO GORDO,12857
President/Vice President,Scattering,,CERRO GORDO,5
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CHEROKEE,2
President/Vice President,Duke / Parker,Patriotic Party,CHEROKEE,8
President/Vice President,Bush / Quayle,Republican,CHEROKEE,3218
President/Vice President,Winn / Porster,Workers League,CHEROKEE,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,CHEROKEE,26
President/Vice President,Fulani / Dattner,New Alliance,CHEROKEE,5
President/Vice President,Warren / Mickells,Socialist Workers,CHEROKEE,2
President/Vice President,Paul / Marrou,Libertarian,CHEROKEE,15
President/Vice President,Dukakis / Bentson,Democratic,CHEROKEE,3574
President/Vice President,Scattering,,CHEROKEE,5
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CHICKASAW,0
President/Vice President,Duke / Parker,Patriotic Party,CHICKASAW,10
President/Vice President,Bush / Quayle,Republican,CHICKASAW,2549
President/Vice President,Winn / Porster,Workers League,CHICKASAW,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,CHICKASAW,25
President/Vice President,Fulani / Dattner,New Alliance,CHICKASAW,11
President/Vice President,Warren / Mickells,Socialist Workers,CHICKASAW,3
President/Vice President,Paul / Marrou,Libertarian,CHICKASAW,6
President/Vice President,Dukakis / Bentson,Democratic,CHICKASAW,3530
President/Vice President,Scattering,,CHICKASAW,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CLARKE,2
President/Vice President,Duke / Parker,Patriotic Party,CLARKE,6
President/Vice President,Bush / Quayle,Republican,CLARKE,1631
President/Vice President,Winn / Porster,Workers League,CLARKE,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,CLARKE,3
President/Vice President,Fulani / Dattner,New Alliance,CLARKE,0
President/Vice President,Warren / Mickells,Socialist Workers,CLARKE,1
President/Vice President,Paul / Marrou,Libertarian,CLARKE,1
President/Vice President,Dukakis / Bentson,Democratic,CLARKE,2262
President/Vice President,Scattering,,CLARKE,26
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CLAY,2
President/Vice President,Duke / Parker,Patriotic Party,CLAY,2
President/Vice President,Bush / Quayle,Republican,CLAY,3641
President/Vice President,Winn / Porster,Workers League,CLAY,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,CLAY,30
President/Vice President,Fulani / Dattner,New Alliance,CLAY,2
President/Vice President,Warren / Mickells,Socialist Workers,CLAY,0
President/Vice President,Paul / Marrou,Libertarian,CLAY,13
President/Vice President,Dukakis / Bentson,Democratic,CLAY,4173
President/Vice President,Scattering,,CLAY,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CLAYTON,4
President/Vice President,Duke / Parker,Patriotic Party,CLAYTON,14
President/Vice President,Bush / Quayle,Republican,CLAYTON,3839
President/Vice President,Winn / Porster,Workers League,CLAYTON,3
President/Vice President,La Rouche / Freeman,Nominated by Petition,CLAYTON,30
President/Vice President,Fulani / Dattner,New Alliance,CLAYTON,3
President/Vice President,Warren / Mickells,Socialist Workers,CLAYTON,1
President/Vice President,Paul / Marrou,Libertarian,CLAYTON,18
President/Vice President,Dukakis / Bentson,Democratic,CLAYTON,4320
President/Vice President,Scattering,,CLAYTON,10
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CLINTON,8
President/Vice President,Duke / Parker,Patriotic Party,CLINTON,14
President/Vice President,Bush / Quayle,Republican,CLINTON,10243
President/Vice President,Winn / Porster,Workers League,CLINTON,5
President/Vice President,La Rouche / Freeman,Nominated by Petition,CLINTON,116
President/Vice President,Fulani / Dattner,New Alliance,CLINTON,12
President/Vice President,Warren / Mickells,Socialist Workers,CLINTON,0
President/Vice President,Paul / Marrou,Libertarian,CLINTON,55
President/Vice President,Dukakis / Bentson,Democratic,CLINTON,12549
President/Vice President,Scattering,,CLINTON,0
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,CRAWFORD,3
President/Vice President,Duke / Parker,Patriotic Party,CRAWFORD,3
President/Vice President,Bush / Quayle,Republican,CRAWFORD,3375
President/Vice President,Winn / Porster,Workers League,CRAWFORD,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,CRAWFORD,28
President/Vice President,Fulani / Dattner,New Alliance,CRAWFORD,7
President/Vice President,Warren / Mickells,Socialist Workers,CRAWFORD,2
President/Vice President,Paul / Marrou,Libertarian,CRAWFORD,21
President/Vice President,Dukakis / Bentson,Democratic,CRAWFORD,3868
President/Vice President,Scattering,,CRAWFORD,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DALLAS,1
President/Vice President,Duke / Parker,Patriotic Party,DALLAS,2
President/Vice President,Bush / Quayle,Republican,DALLAS,4858
President/Vice President,Winn / Porster,Workers League,DALLAS,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,DALLAS,6
President/Vice President,Fulani / Dattner,New Alliance,DALLAS,1
President/Vice President,Warren / Mickells,Socialist Workers,DALLAS,1
President/Vice President,Paul / Marrou,Libertarian,DALLAS,19
President/Vice President,Dukakis / Bentson,Democratic,DALLAS,7501
President/Vice President,Scattering,,DALLAS,28
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DAVIS,1
President/Vice President,Duke / Parker,Patriotic Party,DAVIS,2
President/Vice President,Bush / Quayle,Republican,DAVIS,1563
President/Vice President,Winn / Porster,Workers League,DAVIS,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,DAVIS,12
President/Vice President,Fulani / Dattner,New Alliance,DAVIS,1
President/Vice President,Warren / Mickells,Socialist Workers,DAVIS,0
President/Vice President,Paul / Marrou,Libertarian,DAVIS,7
President/Vice President,Dukakis / Bentson,Democratic,DAVIS,2246
President/Vice President,Scattering,,DAVIS,17
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DECATUR,0
President/Vice President,Duke / Parker,Patriotic Party,DECATUR,5
President/Vice President,Bush / Quayle,Republican,DECATUR,1406
President/Vice President,Winn / Porster,Workers League,DECATUR,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,DECATUR,4
President/Vice President,Fulani / Dattner,New Alliance,DECATUR,2
President/Vice President,Warren / Mickells,Socialist Workers,DECATUR,0
President/Vice President,Paul / Marrou,Libertarian,DECATUR,9
President/Vice President,Dukakis / Bentson,Democratic,DECATUR,2192
President/Vice President,Scattering,,DECATUR,7
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DELAWARE,3
President/Vice President,Duke / Parker,Patriotic Party,DELAWARE,9
President/Vice President,Bush / Quayle,Republican,DELAWARE,3425
President/Vice President,Winn / Porster,Workers League,DELAWARE,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,DELAWARE,26
President/Vice President,Fulani / Dattner,New Alliance,DELAWARE,5
President/Vice President,Warren / Mickells,Socialist Workers,DELAWARE,1
President/Vice President,Paul / Marrou,Libertarian,DELAWARE,11
President/Vice President,Dukakis / Bentson,Democratic,DELAWARE,3947
President/Vice President,Scattering,,DELAWARE,3
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DES MOINES,3
President/Vice President,Duke / Parker,Patriotic Party,DES MOINES,9
President/Vice President,Bush / Quayle,Republican,DES MOINES,7652
President/Vice President,Winn / Porster,Workers League,DES MOINES,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,DES MOINES,62
President/Vice President,Fulani / Dattner,New Alliance,DES MOINES,5
President/Vice President,Warren / Mickells,Socialist Workers,DES MOINES,3
President/Vice President,Paul / Marrou,Libertarian,DES MOINES,26
President/Vice President,Dukakis / Bentson,Democratic,DES MOINES,11593
President/Vice President,Scattering,,DES MOINES,19
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DICKINSON,1
President/Vice President,Duke / Parker,Patriotic Party,DICKINSON,3
President/Vice President,Bush / Quayle,Republican,DICKINSON,3678
President/Vice President,Winn / Porster,Workers League,DICKINSON,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,DICKINSON,41
President/Vice President,Fulani / Dattner,New Alliance,DICKINSON,1
President/Vice President,Warren / Mickells,Socialist Workers,DICKINSON,0
President/Vice President,Paul / Marrou,Libertarian,DICKINSON,19
President/Vice President,Dukakis / Bentson,Democratic,DICKINSON,3342
President/Vice President,Scattering,,DICKINSON,16
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,DUBUQUE,9
President/Vice President,Duke / Parker,Patriotic Party,DUBUQUE,22
President/Vice President,Bush / Quayle,Republican,DUBUQUE,14530
President/Vice President,Winn / Porster,Workers League,DUBUQUE,11
President/Vice President,La Rouche / Freeman,Nominated by Petition,DUBUQUE,88
President/Vice President,Fulani / Dattner,New Alliance,DUBUQUE,8
President/Vice President,Warren / Mickells,Socialist Workers,DUBUQUE,7
President/Vice President,Paul / Marrou,Libertarian,DUBUQUE,60
President/Vice President,Dukakis / Bentson,Democratic,DUBUQUE,23797
President/Vice President,Scattering,,DUBUQUE,15
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,EMMET,0
President/Vice President,Duke / Parker,Patriotic Party,EMMET,3
President/Vice President,Bush / Quayle,Republican,EMMET,2173
President/Vice President,Winn / Porster,Workers League,EMMET,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,EMMET,9
President/Vice President,Fulani / Dattner,New Alliance,EMMET,1
President/Vice President,Warren / Mickells,Socialist Workers,EMMET,0
President/Vice President,Paul / Marrou,Libertarian,EMMET,12
President/Vice President,Dukakis / Bentson,Democratic,EMMET,2778
President/Vice President,Scattering,,EMMET,0
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,FAYETTE,3
President/Vice President,Duke / Parker,Patriotic Party,FAYETTE,4
President/Vice President,Bush / Quayle,Republican,FAYETTE,4921
President/Vice President,Winn / Porster,Workers League,FAYETTE,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,FAYETTE,17
President/Vice President,Fulani / Dattner,New Alliance,FAYETTE,2
President/Vice President,Warren / Mickells,Socialist Workers,FAYETTE,1
President/Vice President,Paul / Marrou,Libertarian,FAYETTE,30
President/Vice President,Dukakis / Bentson,Democratic,FAYETTE,5304
President/Vice President,Scattering,,FAYETTE,4
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,FLOYD,4
President/Vice President,Duke / Parker,Patriotic Party,FLOYD,8
President/Vice President,Bush / Quayle,Republican,FLOYD,3266
President/Vice President,Winn / Porster,Workers League,FLOYD,3
President/Vice President,La Rouche / Freeman,Nominated by Petition,FLOYD,53
President/Vice President,Fulani / Dattner,New Alliance,FLOYD,2
President/Vice President,Warren / Mickells,Socialist Workers,FLOYD,1
President/Vice President,Paul / Marrou,Libertarian,FLOYD,11
President/Vice President,Dukakis / Bentson,Democratic,FLOYD,4377
President/Vice President,Scattering,,FLOYD,8
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,FRANKLIN,0
President/Vice President,Duke / Parker,Patriotic Party,FRANKLIN,1
President/Vice President,Bush / Quayle,Republican,FRANKLIN,2320
President/Vice President,Winn / Porster,Workers League,FRANKLIN,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,FRANKLIN,21
President/Vice President,Fulani / Dattner,New Alliance,FRANKLIN,3
President/Vice President,Warren / Mickells,Socialist Workers,FRANKLIN,0
President/Vice President,Paul / Marrou,Libertarian,FRANKLIN,9
President/Vice President,Dukakis / Bentson,Democratic,FRANKLIN,2594
President/Vice President,Scattering,,FRANKLIN,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,FREMONT,0
President/Vice President,Duke / Parker,Patriotic Party,FREMONT,4
President/Vice President,Bush / Quayle,Republican,FREMONT,1946
President/Vice President,Winn / Porster,Workers League,FREMONT,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,FREMONT,18
President/Vice President,Fulani / Dattner,New Alliance,FREMONT,0
President/Vice President,Warren / Mickells,Socialist Workers,FREMONT,0
President/Vice President,Paul / Marrou,Libertarian,FREMONT,5
President/Vice President,Dukakis / Bentson,Democratic,FREMONT,1547
President/Vice President,Scattering,,FREMONT,7
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,GREENE,1
President/Vice President,Duke / Parker,Patriotic Party,GREENE,4
President/Vice President,Bush / Quayle,Republican,GREENE,2091
President/Vice President,Winn / Porster,Workers League,GREENE,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,GREENE,32
President/Vice President,Fulani / Dattner,New Alliance,GREENE,2
President/Vice President,Warren / Mickells,Socialist Workers,GREENE,0
President/Vice President,Paul / Marrou,Libertarian,GREENE,10
President/Vice President,Dukakis / Bentson,Democratic,GREENE,3011
President/Vice President,Scattering,,GREENE,11
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,GRUNDY,0
President/Vice President,Duke / Parker,Patriotic Party,GRUNDY,5
President/Vice President,Bush / Quayle,Republican,GRUNDY,3433
President/Vice President,Winn / Porster,Workers League,GRUNDY,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,GRUNDY,19
President/Vice President,Fulani / Dattner,New Alliance,GRUNDY,2
President/Vice President,Warren / Mickells,Socialist Workers,GRUNDY,0
President/Vice President,Paul / Marrou,Libertarian,GRUNDY,10
President/Vice President,Dukakis / Bentson,Democratic,GRUNDY,2211
President/Vice President,Scattering,,GRUNDY,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,GUTHRIE,2
President/Vice President,Duke / Parker,Patriotic Party,GUTHRIE,3
President/Vice President,Bush / Quayle,Republican,GUTHRIE,2005
President/Vice President,Winn / Porster,Workers League,GUTHRIE,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,GUTHRIE,35
President/Vice President,Fulani / Dattner,New Alliance,GUTHRIE,3
President/Vice President,Warren / Mickells,Socialist Workers,GUTHRIE,0
President/Vice President,Paul / Marrou,Libertarian,GUTHRIE,23
President/Vice President,Dukakis / Bentson,Democratic,GUTHRIE,2910
President/Vice President,Scattering,,GUTHRIE,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HAMILTON,2
President/Vice President,Duke / Parker,Patriotic Party,HAMILTON,6
President/Vice President,Bush / Quayle,Republican,HAMILTON,3277
President/Vice President,Winn / Porster,Workers League,HAMILTON,4
President/Vice President,La Rouche / Freeman,Nominated by Petition,HAMILTON,23
President/Vice President,Fulani / Dattner,New Alliance,HAMILTON,1
President/Vice President,Warren / Mickells,Socialist Workers,HAMILTON,1
President/Vice President,Paul / Marrou,Libertarian,HAMILTON,14
President/Vice President,Dukakis / Bentson,Democratic,HAMILTON,4156
President/Vice President,Scattering,,HAMILTON,10
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HANCOCK,1
President/Vice President,Duke / Parker,Patriotic Party,HANCOCK,5
President/Vice President,Bush / Quayle,Republican,HANCOCK,2731
President/Vice President,Winn / Porster,Workers League,HANCOCK,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,HANCOCK,17
President/Vice President,Fulani / Dattner,New Alliance,HANCOCK,1
President/Vice President,Warren / Mickells,Socialist Workers,HANCOCK,0
President/Vice President,Paul / Marrou,Libertarian,HANCOCK,6
President/Vice President,Dukakis / Bentson,Democratic,HANCOCK,2831
President/Vice President,Scattering,,HANCOCK,0
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HARDIN,1
President/Vice President,Duke / Parker,Patriotic Party,HARDIN,10
President/Vice President,Bush / Quayle,Republican,HARDIN,3856
President/Vice President,Winn / Porster,Workers League,HARDIN,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,HARDIN,14
President/Vice President,Fulani / Dattner,New Alliance,HARDIN,3
President/Vice President,Warren / Mickells,Socialist Workers,HARDIN,3
President/Vice President,Paul / Marrou,Libertarian,HARDIN,18
President/Vice President,Dukakis / Bentson,Democratic,HARDIN,5088
President/Vice President,Scattering,,HARDIN,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HARRISON,0
President/Vice President,Duke / Parker,Patriotic Party,HARRISON,1
President/Vice President,Bush / Quayle,Republican,HARRISON,3108
President/Vice President,Winn / Porster,Workers League,HARRISON,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,HARRISON,7
President/Vice President,Fulani / Dattner,New Alliance,HARRISON,6
President/Vice President,Warren / Mickells,Socialist Workers,HARRISON,0
President/Vice President,Paul / Marrou,Libertarian,HARRISON,8
President/Vice President,Dukakis / Bentson,Democratic,HARRISON,2883
President/Vice President,Scattering,,HARRISON,14
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HENRY,1
President/Vice President,Duke / Parker,Patriotic Party,HENRY,1
President/Vice President,Bush / Quayle,Republican,HENRY,3951
President/Vice President,Winn / Porster,Workers League,HENRY,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,HENRY,9
President/Vice President,Fulani / Dattner,New Alliance,HENRY,3
President/Vice President,Warren / Mickells,Socialist Workers,HENRY,2
President/Vice President,Paul / Marrou,Libertarian,HENRY,18
President/Vice President,Dukakis / Bentson,Democratic,HENRY,3754
President/Vice President,Scattering,,HENRY,19
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,HOWARD,4
President/Vice President,Duke / Parker,Patriotic Party,HOWARD,3
President/Vice President,Bush / Quayle,Republican,HOWARD,1970
