county,precinct,office,district,party,candidate,votes,election_day_total_votes
Lucas,Chariton City Hall,Auditor of State,,REP,Mary Mosiman,72,72
Lucas,Chariton Community Center,Auditor of State,,REP,Mary Mosiman,78,78
Lucas,L.C. Extension Office,Auditor of State,,REP,Mary Mosiman,31,31
Lucas,Lucas,Auditor of State,,REP,Mary Mosiman,33,33
Lucas,Pin Oak Marsh,Auditor of State,,REP,Mary Mosiman,47,47
Lucas,Russell,Auditor of State,,REP,Mary Mosiman,54,54
Lucas,Williamson,Auditor of State,,REP,Mary Mosiman,39,39
Lucas,Chariton City Hall,Auditor of State,,,Write-in,0,0
Lucas,Chariton Community Center,Auditor of State,,,Write-in,0,0
Lucas,L.C. Extension Office,Auditor of State,,,Write-in,0,0
Lucas,Lucas,Auditor of State,,,Write-in,0,0
Lucas,Pin Oak Marsh,Auditor of State,,,Write-in,0,0
Lucas,Russell,Auditor of State,,,Write-in,0,0
Lucas,Williamson,Auditor of State,,,Write-in,1,1
Lucas,Chariton City Hall,Auditor of State,,DEM,Rob Sand,63,63
Lucas,Chariton Community Center,Auditor of State,,DEM,Rob Sand,62,62
Lucas,L.C. Extension Office,Auditor of State,,DEM,Rob Sand,27,27
Lucas,Lucas,Auditor of State,,DEM,Rob Sand,26,26
Lucas,Pin Oak Marsh,Auditor of State,,DEM,Rob Sand,24,24
Lucas,Russell,Auditor of State,,DEM,Rob Sand,26,26
Lucas,Williamson,Auditor of State,,DEM,Rob Sand,29,29
Lucas,Chariton City Hall,Treasurer of State,,,Write-in,0,0
Lucas,Chariton Community Center,Treasurer of State,,,Write-in,0,0
Lucas,L.C. Extension Office,Treasurer of State,,,Write-in,0,0
Lucas,Lucas,Treasurer of State,,,Write-in,0,0
Lucas,Pin Oak Marsh,Treasurer of State,,,Write-in,0,0
Lucas,Russell,Treasurer of State,,,Write-in,0,0
Lucas,Williamson,Treasurer of State,,,Write-in,1,1
Lucas,Chariton City Hall,Treasurer of State,,DEM,Michael L. Fitzgerald,73,73
Lucas,Chariton Community Center,Treasurer of State,,DEM,Michael L. Fitzgerald,66,66
Lucas,L.C. Extension Office,Treasurer of State,,DEM,Michael L. Fitzgerald,28,28
Lucas,Lucas,Treasurer of State,,DEM,Michael L. Fitzgerald,32,32
Lucas,Pin Oak Marsh,Treasurer of State,,DEM,Michael L. Fitzgerald,28,28
Lucas,Russell,Treasurer of State,,DEM,Michael L. Fitzgerald,27,27
Lucas,Williamson,Treasurer of State,,DEM,Michael L. Fitzgerald,30,30
Lucas,Chariton City Hall,Secretary of Agriculture,,REP,Ray Gaesser,18,18
Lucas,Chariton Community Center,Secretary of Agriculture,,REP,Ray Gaesser,13,13
Lucas,L.C. Extension Office,Secretary of Agriculture,,REP,Ray Gaesser,4,4
Lucas,Lucas,Secretary of Agriculture,,REP,Ray Gaesser,3,3
Lucas,Pin Oak Marsh,Secretary of Agriculture,,REP,Ray Gaesser,5,5
Lucas,Russell,Secretary of Agriculture,,REP,Ray Gaesser,12,12
Lucas,Williamson,Secretary of Agriculture,,REP,Ray Gaesser,4,4
Lucas,Chariton City Hall,Secretary of Agriculture,,REP,Chad Ingels,5,5
Lucas,Chariton Community Center,Secretary of Agriculture,,REP,Chad Ingels,8,8
Lucas,L.C. Extension Office,Secretary of Agriculture,,REP,Chad Ingels,0,0
Lucas,Lucas,Secretary of Agriculture,,REP,Chad Ingels,1,1
Lucas,Pin Oak Marsh,Secretary of Agriculture,,REP,Chad Ingels,1,1
Lucas,Russell,Secretary of Agriculture,,REP,Chad Ingels,5,5
Lucas,Williamson,Secretary of Agriculture,,REP,Chad Ingels,1,1
Lucas,Chariton City Hall,Secretary of Agriculture,,REP,Craig Lang,24,24
Lucas,Chariton Community Center,Secretary of Agriculture,,REP,Craig Lang,29,29
Lucas,L.C. Extension Office,Secretary of Agriculture,,REP,Craig Lang,8,8
Lucas,Lucas,Secretary of Agriculture,,REP,Craig Lang,14,14
Lucas,Pin Oak Marsh,Secretary of Agriculture,,REP,Craig Lang,18,18
Lucas,Russell,Secretary of Agriculture,,REP,Craig Lang,14,14
Lucas,Williamson,Secretary of Agriculture,,REP,Craig Lang,12,12
Lucas,Chariton City Hall,Secretary of Agriculture,,REP,Mike Naig,16,16
Lucas,Chariton Community Center,Secretary of Agriculture,,REP,Mike Naig,21,21
Lucas,L.C. Extension Office,Secretary of Agriculture,,REP,Mike Naig,15,15
Lucas,Lucas,Secretary of Agriculture,,REP,Mike Naig,11,11
Lucas,Pin Oak Marsh,Secretary of Agriculture,,REP,Mike Naig,18,18
Lucas,Russell,Secretary of Agriculture,,REP,Mike Naig,19,19
Lucas,Williamson,Secretary of Agriculture,,REP,Mike Naig,14,14
Lucas,Chariton City Hall,Secretary of Agriculture,,REP,Dan Zumbach,8,8
Lucas,Chariton Community Center,Secretary of Agriculture,,REP,Dan Zumbach,7,7
Lucas,L.C. Extension Office,Secretary of Agriculture,,REP,Dan Zumbach,4,4
Lucas,Lucas,Secretary of Agriculture,,REP,Dan Zumbach,1,1
Lucas,Pin Oak Marsh,Secretary of Agriculture,,REP,Dan Zumbach,5,5
Lucas,Russell,Secretary of Agriculture,,REP,Dan Zumbach,6,6
Lucas,Williamson,Secretary of Agriculture,,REP,Dan Zumbach,6,6
Lucas,Chariton City Hall,Secretary of Agriculture,,,Write-in,0,0
Lucas,Chariton Community Center,Secretary of Agriculture,,,Write-in,0,0
Lucas,L.C. Extension Office,Secretary of Agriculture,,,Write-in,0,0
Lucas,Lucas,Secretary of Agriculture,,,Write-in,0,0
Lucas,Pin Oak Marsh,Secretary of Agriculture,,,Write-in,0,0
Lucas,Russell,Secretary of Agriculture,,,Write-in,0,0
Lucas,Williamson,Secretary of Agriculture,,,Write-in,1,1
Lucas,Chariton City Hall,Secretary of Agriculture,,DEM,Tim Gannon,66,66
Lucas,Chariton Community Center,Secretary of Agriculture,,DEM,Tim Gannon,61,61
Lucas,L.C. Extension Office,Secretary of Agriculture,,DEM,Tim Gannon,28,28
Lucas,Lucas,Secretary of Agriculture,,DEM,Tim Gannon,28,28
Lucas,Pin Oak Marsh,Secretary of Agriculture,,DEM,Tim Gannon,24,24
Lucas,Russell,Secretary of Agriculture,,DEM,Tim Gannon,27,27
Lucas,Williamson,Secretary of Agriculture,,DEM,Tim Gannon,28,28
Lucas,Chariton City Hall,Attorney General,,,Write-in,0,0
Lucas,Chariton Community Center,Attorney General,,,Write-in,0,0
Lucas,L.C. Extension Office,Attorney General,,,Write-in,0,0
Lucas,Lucas,Attorney General,,,Write-in,0,0
Lucas,Pin Oak Marsh,Attorney General,,,Write-in,0,0
Lucas,Russell,Attorney General,,,Write-in,0,0
Lucas,Williamson,Attorney General,,,Write-in,1,1
Lucas,Chariton City Hall,Attorney General,,DEM,Tom Miller,74,74
Lucas,Chariton Community Center,Attorney General,,DEM,Tom Miller,65,65
Lucas,L.C. Extension Office,Attorney General,,DEM,Tom Miller,28,28
Lucas,Lucas,Attorney General,,DEM,Tom Miller,31,31
Lucas,Pin Oak Marsh,Attorney General,,DEM,Tom Miller,27,27
Lucas,Russell,Attorney General,,DEM,Tom Miller,27,27
Lucas,Williamson,Attorney General,,DEM,Tom Miller,30,30
Lucas,Chariton City Hall,State House,27,REP,Joel Fry,79,79
Lucas,Chariton Community Center,State House,27,REP,Joel Fry,83,83
Lucas,L.C. Extension Office,State House,27,REP,Joel Fry,33,33
Lucas,Lucas,State House,27,REP,Joel Fry,32,32
Lucas,Chariton City Hall,State House,27,,Write-in,0,0
Lucas,Chariton Community Center,State House,27,,Write-in,0,0
Lucas,L.C. Extension Office,State House,27,,Write-in,0,0
Lucas,Lucas,State House,27,,Write-in,0,0
Lucas,Chariton City Hall,State House,27,DEM,Richard Foster,64,64
Lucas,Chariton Community Center,State House,27,DEM,Richard Foster,63,63
Lucas,L.C. Extension Office,State House,27,DEM,Richard Foster,25,25
Lucas,Lucas,State House,27,DEM,Richard Foster,27,27
Lucas,Pin Oak Marsh,State House,28,REP,Jon Thorup,16,16
Lucas,Russell,State House,28,REP,Jon Thorup,15,15
Lucas,Williamson,State House,28,REP,Jon Thorup,29,29
Lucas,Pin Oak Marsh,State House,28,REP,Jon Van Wyk,32,32
Lucas,Russell,State House,28,REP,Jon Van Wyk,38,38
Lucas,Williamson,State House,28,REP,Jon Van Wyk,18,18
Lucas,Pin Oak Marsh,State House,28,,Write-in,0,0
Lucas,Russell,State House,28,,Write-in,0,0
Lucas,Williamson,State House,28,,Write-in,1,1
Lucas,Pin Oak Marsh,State House,28,DEM,Ann M. Fields,25,25
Lucas,Russell,State House,28,DEM,Ann M. Fields,26,26
Lucas,Williamson,State House,28,DEM,Ann M. Fields,24,24
Lucas,Pin Oak Marsh,State House,28,DEM,Zachary Pendroy,3,3
Lucas,Russell,State House,28,DEM,Zachary Pendroy,4,4
Lucas,Williamson,State House,28,DEM,Zachary Pendroy,6,6
Lucas,Chariton City Hall,County Board of Supervisors,,REP,Larry Davis,77,77
Lucas,Chariton Community Center,County Board of Supervisors,,REP,Larry Davis,84,84
Lucas,L.C. Extension Office,County Board of Supervisors,,REP,Larry Davis,29,29
Lucas,Lucas,County Board of Supervisors,,REP,Larry Davis,33,33
Lucas,Pin Oak Marsh,County Board of Supervisors,,REP,Larry Davis,48,48
Lucas,Russell,County Board of Supervisors,,REP,Larry Davis,57,57
Lucas,Williamson,County Board of Supervisors,,REP,Larry Davis,44,44
Lucas,Chariton City Hall,County Board of Supervisors,,,Write-in,0,0
Lucas,Chariton Community Center,County Board of Supervisors,,,Write-in,0,0
Lucas,L.C. Extension Office,County Board of Supervisors,,,Write-in,0,0
Lucas,Lucas,County Board of Supervisors,,,Write-in,0,0
Lucas,Pin Oak Marsh,County Board of Supervisors,,,Write-in,0,0
Lucas,Russell,County Board of Supervisors,,,Write-in,0,0
Lucas,Williamson,County Board of Supervisors,,,Write-in,0,0
Lucas,Chariton City Hall,County Board of Supervisors,,DEM,Ben Carlson,34,34
Lucas,Chariton Community Center,County Board of Supervisors,,DEM,Ben Carlson,31,31
Lucas,L.C. Extension Office,County Board of Supervisors,,DEM,Ben Carlson,20,20
Lucas,Lucas,County Board of Supervisors,,DEM,Ben Carlson,16,16
Lucas,Pin Oak Marsh,County Board of Supervisors,,DEM,Ben Carlson,15,15
Lucas,Russell,County Board of Supervisors,,DEM,Ben Carlson,14,14
Lucas,Williamson,County Board of Supervisors,,DEM,Ben Carlson,21,21
Lucas,Chariton City Hall,County Board of Supervisors,,DEM,James E Zastawniak,34,34
Lucas,Chariton Community Center,County Board of Supervisors,,DEM,James E Zastawniak,31,31
Lucas,L.C. Extension Office,County Board of Supervisors,,DEM,James E Zastawniak,9,9
Lucas,Lucas,County Board of Supervisors,,DEM,James E Zastawniak,13,13
Lucas,Pin Oak Marsh,County Board of Supervisors,,DEM,James E Zastawniak,9,9
Lucas,Russell,County Board of Supervisors,,DEM,James E Zastawniak,13,13
Lucas,Williamson,County Board of Supervisors,,DEM,James E Zastawniak,8,8
Lucas,Chariton City Hall,County Treasurer,,REP,Hanna L Gwinn,82,82
Lucas,Chariton Community Center,County Treasurer,,REP,Hanna L Gwinn,87,87
Lucas,L.C. Extension Office,County Treasurer,,REP,Hanna L Gwinn,34,34
Lucas,Lucas,County Treasurer,,REP,Hanna L Gwinn,32,32
Lucas,Pin Oak Marsh,County Treasurer,,REP,Hanna L Gwinn,47,47
Lucas,Russell,County Treasurer,,REP,Hanna L Gwinn,63,63
Lucas,Williamson,County Treasurer,,REP,Hanna L Gwinn,46,46
Lucas,Chariton City Hall,County Treasurer,,,Write-in,0,0
Lucas,Chariton Community Center,County Treasurer,,,Write-in,0,0
Lucas,L.C. Extension Office,County Treasurer,,,Write-in,0,0
Lucas,Lucas,County Treasurer,,,Write-in,0,0
Lucas,Pin Oak Marsh,County Treasurer,,,Write-in,0,0
Lucas,Russell,County Treasurer,,,Write-in,0,0
Lucas,Williamson,County Treasurer,,,Write-in,0,0
Lucas,Chariton City Hall,County Recorder,,REP,Laurie Hunter,79,79
Lucas,Chariton Community Center,County Recorder,,REP,Laurie Hunter,89,89
Lucas,L.C. Extension Office,County Recorder,,REP,Laurie Hunter,33,33
Lucas,Lucas,County Recorder,,REP,Laurie Hunter,34,34
Lucas,Pin Oak Marsh,County Recorder,,REP,Laurie Hunter,47,47
Lucas,Russell,County Recorder,,REP,Laurie Hunter,62,62
Lucas,Williamson,County Recorder,,REP,Laurie Hunter,45,45
Lucas,Chariton City Hall,County Recorder,,,Write-in,0,0
Lucas,Chariton Community Center,County Recorder,,,Write-in,0,0
Lucas,L.C. Extension Office,County Recorder,,,Write-in,0,0
Lucas,Lucas,County Recorder,,,Write-in,0,0
Lucas,Pin Oak Marsh,County Recorder,,,Write-in,0,0
Lucas,Russell,County Recorder,,,Write-in,0,0
Lucas,Williamson,County Recorder,,,Write-in,0,0
Lucas,Chariton City Hall,County Attorney,,,Write-in,0,0
Lucas,Chariton Community Center,County Attorney,,,Write-in,0,0
Lucas,L.C. Extension Office,County Attorney,,,Write-in,0,0
Lucas,Lucas,County Attorney,,,Write-in,0,0
Lucas,Pin Oak Marsh,County Attorney,,,Write-in,0,0
Lucas,Russell,County Attorney,,,Write-in,0,0
Lucas,Williamson,County Attorney,,,Write-in,0,0
