office,county,candidate,party,votes
U.S. Senate,Benton,Total,,13971
U.S. Senate,Black Hawk,Charles E. Grassley,Republican Party,33884
U.S. Senate,Black Hawk,Patty Judge,Democratic Party,27245
U.S. Senate,Black Hawk,Charles Aldrich,Libertarian Party,1643
U.S. Senate,Black Hawk,Jim Hennager,New Independent Party Iowa,551
U.S. Senate,Black Hawk,Michael Luick-Thrams,Nominated by Petition,143
U.S. Senate,Black Hawk,Write-In,,61
U.S. Senate,Black Hawk,Under Votes,,1436
U.S. Senate,Black Hawk,Over Votes,,44
U.S. Senate,Black Hawk,Total,,65007
U.S. Senate,Boone,Charles E. Grassley,Republican Party,8593
U.S. Senate,Boone,Patty Judge,Democratic Party,4820
U.S. Senate,Boone,Charles Aldrich,Libertarian Party,455
U.S. Senate,Boone,Jim Hennager,New Independent Party Iowa,142
U.S. Senate,Boone,Michael Luick-Thrams,Nominated by Petition,34
U.S. Senate,Boone,Write-In,,12
U.S. Senate,Boone,Under Votes,,243
U.S. Senate,Boone,Over Votes,,11
U.S. Senate,Boone,Total,,14310
U.S. Senate,Bremer,Charles E. Grassley,Republican Party,8583
U.S. Senate,Bremer,Patty Judge,Democratic Party,4357
U.S. Senate,Bremer,Charles Aldrich,Libertarian Party,334
U.S. Senate,Bremer,Jim Hennager,New Independent Party Iowa,100
U.S. Senate,Bremer,Michael Luick-Thrams,Nominated by Petition,28
U.S. Senate,Bremer,Write-In,,13
U.S. Senate,Bremer,Under Votes,,272
U.S. Senate,Bremer,Over Votes,,4
U.S. Senate,Bremer,Total,,13691
U.S. Senate,Buchanan,Charles E. Grassley,Republican Party,6382
U.S. Senate,Buchanan,Patty Judge,Democratic Party,3313
U.S. Senate,Buchanan,Charles Aldrich,Libertarian Party,298
U.S. Senate,Buchanan,Jim Hennager,New Independent Party Iowa,121
U.S. Senate,Buchanan,Michael Luick-Thrams,Nominated by Petition,28
U.S. Senate,Buchanan,Write-In,,7
U.S. Senate,Buchanan,Under Votes,,220
U.S. Senate,Buchanan,Over Votes,,8
U.S. Senate,Buchanan,Total,,10377
U.S. Senate,Buena Vista,Charles E. Grassley,Republican Party,5369
U.S. Senate,Buena Vista,Patty Judge,Democratic Party,2382
U.S. Senate,Buena Vista,Charles Aldrich,Libertarian Party,210
U.S. Senate,Buena Vista,Jim Hennager,New Independent Party Iowa,72
U.S. Senate,Buena Vista,Michael Luick-Thrams,Nominated by Petition,13
U.S. Senate,Buena Vista,Write-In,,4
U.S. Senate,Buena Vista,Under Votes,,325
U.S. Senate,Buena Vista,Over Votes,,6
U.S. Senate,Buena Vista,Total,,8381
U.S. Senate,Butler,Charles E. Grassley,Republican Party,5433
U.S. Senate,Butler,Patty Judge,Democratic Party,1782
U.S. Senate,Butler,Charles Aldrich,Libertarian Party,146
U.S. Senate,Butler,Jim Hennager,New Independent Party Iowa,81
U.S. Senate,Butler,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Butler,Write-In,,6
U.S. Senate,Butler,Under Votes,,118
U.S. Senate,Butler,Over Votes,,1
U.S. Senate,Butler,Total,,7583
U.S. Senate,Calhoun,Charles E. Grassley,Republican Party,3798
U.S. Senate,Calhoun,Patty Judge,Democratic Party,1154
U.S. Senate,Calhoun,Charles Aldrich,Libertarian Party,119
U.S. Senate,Calhoun,Jim Hennager,New Independent Party Iowa,32
U.S. Senate,Calhoun,Michael Luick-Thrams,Nominated by Petition,10
U.S. Senate,Calhoun,Write-In,,5
U.S. Senate,Calhoun,Under Votes,,98
U.S. Senate,Calhoun,Over Votes,,2
U.S. Senate,Calhoun,Total,,5218
U.S. Senate,Carroll,Charles E. Grassley,Republican Party,7259
U.S. Senate,Carroll,Patty Judge,Democratic Party,2714
U.S. Senate,Carroll,Charles Aldrich,Libertarian Party,244
U.S. Senate,Carroll,Jim Hennager,New Independent Party Iowa,104
U.S. Senate,Carroll,Michael Luick-Thrams,Nominated by Petition,20
U.S. Senate,Carroll,Write-In,,3
U.S. Senate,Carroll,Under Votes,,336
U.S. Senate,Carroll,Over Votes,,2
U.S. Senate,Carroll,Total,,10682
U.S. Senate,Cass,Charles E. Grassley,Republican Party,5081
U.S. Senate,Cass,Patty Judge,Democratic Party,1558
U.S. Senate,Cass,Charles Aldrich,Libertarian Party,161
U.S. Senate,Cass,Jim Hennager,New Independent Party Iowa,103
U.S. Senate,Cass,Michael Luick-Thrams,Nominated by Petition,21
U.S. Senate,Cass,Write-In,,5
U.S. Senate,Cass,Under Votes,,263
U.S. Senate,Cass,Over Votes,,6
U.S. Senate,Cass,Total,,7198
U.S. Senate,Cedar,Charles E. Grassley,Republican Party,6103
U.S. Senate,Cedar,Patty Judge,Democratic Party,2908
U.S. Senate,Cedar,Charles Aldrich,Libertarian Party,268
U.S. Senate,Cedar,Jim Hennager,New Independent Party Iowa,91
U.S. Senate,Cedar,Michael Luick-Thrams,Nominated by Petition,31
U.S. Senate,Cedar,Write-In,,9
U.S. Senate,Cedar,Under Votes,,218
U.S. Senate,Cedar,Over Votes,,3
U.S. Senate,Cedar,Total,,9631
U.S. Senate,Cerro Gordo,Charles E. Grassley,Republican Party,13417
U.S. Senate,Cerro Gordo,Patty Judge,Democratic Party,8173
U.S. Senate,Cerro Gordo,Charles Aldrich,Libertarian Party,588
U.S. Senate,Cerro Gordo,Jim Hennager,New Independent Party Iowa,276
U.S. Senate,Cerro Gordo,Michael Luick-Thrams,Nominated by Petition,158
U.S. Senate,Cerro Gordo,Write-In,,21
U.S. Senate,Cerro Gordo,Under Votes,,483
U.S. Senate,Cerro Gordo,Over Votes,,21
U.S. Senate,Cerro Gordo,Total,,23137
U.S. Senate,Cherokee,Charles E. Grassley,Republican Party,4670
U.S. Senate,Cherokee,Patty Judge,Democratic Party,1331
U.S. Senate,Cherokee,Charles Aldrich,Libertarian Party,128
U.S. Senate,Cherokee,Jim Hennager,New Independent Party Iowa,44
U.S. Senate,Cherokee,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Cherokee,Write-In,,4
U.S. Senate,Cherokee,Under Votes,,118
U.S. Senate,Cherokee,Over Votes,,4
U.S. Senate,Cherokee,Total,,6315
U.S. Senate,Chickasaw,Charles E. Grassley,Republican Party,4177
U.S. Senate,Chickasaw,Patty Judge,Democratic Party,1956
U.S. Senate,Chickasaw,Charles Aldrich,Libertarian Party,153
U.S. Senate,Chickasaw,Jim Hennager,New Independent Party Iowa,73
U.S. Senate,Chickasaw,Michael Luick-Thrams,Nominated by Petition,22
U.S. Senate,Chickasaw,Write-In,,1
U.S. Senate,Chickasaw,Under Votes,,135
U.S. Senate,Chickasaw,Over Votes,,1
U.S. Senate,Chickasaw,Total,,6518
U.S. Senate,Clarke,Charles E. Grassley,Republican Party,2903
U.S. Senate,Clarke,Patty Judge,Democratic Party,1273
U.S. Senate,Clarke,Charles Aldrich,Libertarian Party,118
U.S. Senate,Clarke,Jim Hennager,New Independent Party Iowa,73
U.S. Senate,Clarke,Michael Luick-Thrams,Nominated by Petition,12
U.S. Senate,Clarke,Write-In,,6
U.S. Senate,Clarke,Under Votes,,121
U.S. Senate,Clarke,Over Votes,,3
U.S. Senate,Clarke,Total,,4509
U.S. Senate,Clay,Charles E. Grassley,Republican Party,6260
U.S. Senate,Clay,Patty Judge,Democratic Party,1894
U.S. Senate,Clay,Charles Aldrich,Libertarian Party,227
U.S. Senate,Clay,Jim Hennager,New Independent Party Iowa,61
U.S. Senate,Clay,Michael Luick-Thrams,Nominated by Petition,25
U.S. Senate,Clay,Write-In,,5
U.S. Senate,Clay,Under Votes,,230
U.S. Senate,Clay,Over Votes,,4
U.S. Senate,Clay,Total,,8706
U.S. Senate,Clayton,Charles E. Grassley,Republican Party,5851
U.S. Senate,Clayton,Patty Judge,Democratic Party,2779
U.S. Senate,Clayton,Charles Aldrich,Libertarian Party,175
U.S. Senate,Clayton,Jim Hennager,New Independent Party Iowa,190
U.S. Senate,Clayton,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Clayton,Write-In,,1
U.S. Senate,Clayton,Under Votes,,199
U.S. Senate,Clayton,Over Votes,,6
U.S. Senate,Clayton,Total,,9217
U.S. Senate,Clinton,Charles E. Grassley,Republican Party,12821
U.S. Senate,Clinton,Patty Judge,Democratic Party,8852
U.S. Senate,Clinton,Charles Aldrich,Libertarian Party,584
U.S. Senate,Clinton,Jim Hennager,New Independent Party Iowa,445
U.S. Senate,Clinton,Michael Luick-Thrams,Nominated by Petition,37
U.S. Senate,Clinton,Write-In,,15
U.S. Senate,Clinton,Under Votes,,575
U.S. Senate,Clinton,Over Votes,,18
U.S. Senate,Clinton,Total,,23347
U.S. Senate,Crawford,Charles E. Grassley,Republican Party,4674
U.S. Senate,Crawford,Patty Judge,Democratic Party,1771
U.S. Senate,Crawford,Charles Aldrich,Libertarian Party,182
U.S. Senate,Crawford,Jim Hennager,New Independent Party Iowa,74
U.S. Senate,Crawford,Michael Luick-Thrams,Nominated by Petition,17
U.S. Senate,Crawford,Write-In,,3
U.S. Senate,Crawford,Under Votes,,310
U.S. Senate,Crawford,Over Votes,,6
U.S. Senate,Crawford,Total,,7037
U.S. Senate,Dallas,Charles E. Grassley,Republican Party,24374
U.S. Senate,Dallas,Patty Judge,Democratic Party,11876
U.S. Senate,Dallas,Charles Aldrich,Libertarian Party,1072
U.S. Senate,Dallas,Jim Hennager,New Independent Party Iowa,315
U.S. Senate,Dallas,Michael Luick-Thrams,Nominated by Petition,103
U.S. Senate,Dallas,Write-In,,35
U.S. Senate,Dallas,Under Votes,,797
U.S. Senate,Dallas,Over Votes,,16
U.S. Senate,Dallas,Total,,38588
U.S. Senate,Davis,Charles E. Grassley,Republican Party,2750
U.S. Senate,Davis,Patty Judge,Democratic Party,972
U.S. Senate,Davis,Charles Aldrich,Libertarian Party,82
U.S. Senate,Davis,Jim Hennager,New Independent Party Iowa,23
U.S. Senate,Davis,Michael Luick-Thrams,Nominated by Petition,13
U.S. Senate,Davis,Write-In,,3
U.S. Senate,Davis,Under Votes,,99
U.S. Senate,Davis,Over Votes,,1
U.S. Senate,Davis,Total,,3943
U.S. Senate,Decatur,Charles E. Grassley,Republican Party,2488
U.S. Senate,Decatur,Patty Judge,Democratic Party,1037
U.S. Senate,Decatur,Charles Aldrich,Libertarian Party,91
U.S. Senate,Decatur,Jim Hennager,New Independent Party Iowa,45
U.S. Senate,Decatur,Michael Luick-Thrams,Nominated by Petition,15
U.S. Senate,Decatur,Write-In,,5
U.S. Senate,Decatur,Under Votes,,103
U.S. Senate,Decatur,Over Votes,,0
U.S. Senate,Decatur,Total,,3784
U.S. Senate,Delaware,Charles E. Grassley,Republican Party,6445
U.S. Senate,Delaware,Patty Judge,Democratic Party,2369
U.S. Senate,Delaware,Charles Aldrich,Libertarian Party,191
U.S. Senate,Delaware,Jim Hennager,New Independent Party Iowa,160
U.S. Senate,Delaware,Michael Luick-Thrams,Nominated by Petition,15
U.S. Senate,Delaware,Write-In,,0
U.S. Senate,Delaware,Under Votes,,155
U.S. Senate,Delaware,Over Votes,,4
U.S. Senate,Delaware,Total,,9339
U.S. Senate,Des Moines,Charles E. Grassley,Republican Party,10353
U.S. Senate,Des Moines,Patty Judge,Democratic Party,7589
U.S. Senate,Des Moines,Charles Aldrich,Libertarian Party,475
U.S. Senate,Des Moines,Jim Hennager,New Independent Party Iowa,186
U.S. Senate,Des Moines,Michael Luick-Thrams,Nominated by Petition,40
U.S. Senate,Des Moines,Write-In,,26
U.S. Senate,Des Moines,Under Votes,,592
U.S. Senate,Des Moines,Over Votes,,10
U.S. Senate,Des Moines,Total,,19271
U.S. Senate,Dickinson,Charles E. Grassley,Republican Party,7489
U.S. Senate,Dickinson,Patty Judge,Democratic Party,2421
U.S. Senate,Dickinson,Charles Aldrich,Libertarian Party,204
U.S. Senate,Dickinson,Jim Hennager,New Independent Party Iowa,85
U.S. Senate,Dickinson,Michael Luick-Thrams,Nominated by Petition,30
U.S. Senate,Dickinson,Write-In,,6
U.S. Senate,Dickinson,Under Votes,,219
U.S. Senate,Dickinson,Over Votes,,3
U.S. Senate,Dickinson,Total,,10457
U.S. Senate,Dubuque,Charles E. Grassley,Republican Party,27348
U.S. Senate,Dubuque,Patty Judge,Democratic Party,19291
U.S. Senate,Dubuque,Charles Aldrich,Libertarian Party,1266
U.S. Senate,Dubuque,Jim Hennager,New Independent Party Iowa,416
U.S. Senate,Dubuque,Michael Luick-Thrams,Nominated by Petition,133
U.S. Senate,Dubuque,Write-In,,46
U.S. Senate,Dubuque,Under Votes,,1705
U.S. Senate,Dubuque,Over Votes,,16
U.S. Senate,Dubuque,Total,,50221
U.S. Senate,Emmet,Charles E. Grassley,Republican Party,3341
U.S. Senate,Emmet,Patty Judge,Democratic Party,1171
U.S. Senate,Emmet,Charles Aldrich,Libertarian Party,83
U.S. Senate,Emmet,Jim Hennager,New Independent Party Iowa,108
U.S. Senate,Emmet,Michael Luick-Thrams,Nominated by Petition,7
U.S. Senate,Emmet,Write-In,,1
U.S. Senate,Emmet,Under Votes,,94
U.S. Senate,Emmet,Over Votes,,5
U.S. Senate,Emmet,Total,,4810
U.S. Senate,Fayette,Charles E. Grassley,Republican Party,6412
U.S. Senate,Fayette,Patty Judge,Democratic Party,3069
U.S. Senate,Fayette,Charles Aldrich,Libertarian Party,216
U.S. Senate,Fayette,Jim Hennager,New Independent Party Iowa,220
U.S. Senate,Fayette,Michael Luick-Thrams,Nominated by Petition,17
U.S. Senate,Fayette,Write-In,,13
U.S. Senate,Fayette,Under Votes,,145
U.S. Senate,Fayette,Over Votes,,6
U.S. Senate,Fayette,Total,,10098
U.S. Senate,Floyd,Charles E. Grassley,Republican Party,4947
U.S. Senate,Floyd,Patty Judge,Democratic Party,2725
U.S. Senate,Floyd,Charles Aldrich,Libertarian Party,183
U.S. Senate,Floyd,Jim Hennager,New Independent Party Iowa,97
U.S. Senate,Floyd,Michael Luick-Thrams,Nominated by Petition,21
U.S. Senate,Floyd,Write-In,,5
U.S. Senate,Floyd,Under Votes,,176
U.S. Senate,Floyd,Over Votes,,5
U.S. Senate,Floyd,Total,,8159
U.S. Senate,Franklin,Charles E. Grassley,Republican Party,3550
U.S. Senate,Franklin,Patty Judge,Democratic Party,1172
U.S. Senate,Franklin,Charles Aldrich,Libertarian Party,150
U.S. Senate,Franklin,Jim Hennager,New Independent Party Iowa,50
U.S. Senate,Franklin,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Franklin,Write-In,,2
U.S. Senate,Franklin,Under Votes,,104
U.S. Senate,Franklin,Over Votes,,2
U.S. Senate,Franklin,Total,,5046
U.S. Senate,Fremont,Charles E. Grassley,Republican Party,2582
U.S. Senate,Fremont,Patty Judge,Democratic Party,735
U.S. Senate,Fremont,Charles Aldrich,Libertarian Party,120
U.S. Senate,Fremont,Jim Hennager,New Independent Party Iowa,54
U.S. Senate,Fremont,Michael Luick-Thrams,Nominated by Petition,13
U.S. Senate,Fremont,Write-In,,1
U.S. Senate,Fremont,Under Votes,,125
U.S. Senate,Fremont,Over Votes,,3
U.S. Senate,Fremont,Total,,3633
U.S. Senate,Greene,Charles E. Grassley,Republican Party,3197
U.S. Senate,Greene,Patty Judge,Democratic Party,1344
U.S. Senate,Greene,Charles Aldrich,Libertarian Party,123
U.S. Senate,Greene,Jim Hennager,New Independent Party Iowa,61
U.S. Senate,Greene,Michael Luick-Thrams,Nominated by Petition,13
U.S. Senate,Greene,Write-In,,5
U.S. Senate,Greene,Under Votes,,130
U.S. Senate,Greene,Over Votes,,3
U.S. Senate,Greene,Total,,4876
U.S. Senate,Grundy,Charles E. Grassley,Republican Party,5261
U.S. Senate,Grundy,Patty Judge,Democratic Party,1370
U.S. Senate,Grundy,Charles Aldrich,Libertarian Party,127
U.S. Senate,Grundy,Jim Hennager,New Independent Party Iowa,95
U.S. Senate,Grundy,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Grundy,Write-In,,4
U.S. Senate,Grundy,Under Votes,,74
U.S. Senate,Grundy,Over Votes,,2
U.S. Senate,Grundy,Total,,6944
U.S. Senate,Guthrie,Charles E. Grassley,Republican Party,4004
U.S. Senate,Guthrie,Patty Judge,Democratic Party,1413
U.S. Senate,Guthrie,Charles Aldrich,Libertarian Party,225
U.S. Senate,Guthrie,Jim Hennager,New Independent Party Iowa,55
U.S. Senate,Guthrie,Michael Luick-Thrams,Nominated by Petition,21
U.S. Senate,Guthrie,Write-In,,6
U.S. Senate,Guthrie,Under Votes,,88
U.S. Senate,Guthrie,Over Votes,,4
U.S. Senate,Guthrie,Total,,5816
U.S. Senate,Hamilton,Charles E. Grassley,Republican Party,5142
U.S. Senate,Hamilton,Patty Judge,Democratic Party,2170
U.S. Senate,Hamilton,Charles Aldrich,Libertarian Party,187
U.S. Senate,Hamilton,Jim Hennager,New Independent Party Iowa,94
U.S. Senate,Hamilton,Michael Luick-Thrams,Nominated by Petition,20
U.S. Senate,Hamilton,Write-In,,6
U.S. Senate,Hamilton,Under Votes,,155
U.S. Senate,Hamilton,Over Votes,,11
U.S. Senate,Hamilton,Total,,7785
U.S. Senate,Hancock,Charles E. Grassley,Republican Party,4232
U.S. Senate,Hancock,Patty Judge,Democratic Party,1324
U.S. Senate,Hancock,Charles Aldrich,Libertarian Party,170
U.S. Senate,Hancock,Jim Hennager,New Independent Party Iowa,69
U.S. Senate,Hancock,Michael Luick-Thrams,Nominated by Petition,18
U.S. Senate,Hancock,Write-In,,6
U.S. Senate,Hancock,Under Votes,,110
U.S. Senate,Hancock,Over Votes,,4
U.S. Senate,Hancock,Total,,5933
U.S. Senate,Hardin,Charles E. Grassley,Republican Party,5841
U.S. Senate,Hardin,Patty Judge,Democratic Party,2284
U.S. Senate,Hardin,Charles Aldrich,Libertarian Party,234
U.S. Senate,Hardin,Jim Hennager,New Independent Party Iowa,80
U.S. Senate,Hardin,Michael Luick-Thrams,Nominated by Petition,21
U.S. Senate,Hardin,Write-In,,4
U.S. Senate,Hardin,Under Votes,,171
U.S. Senate,Hardin,Over Votes,,4
U.S. Senate,Hardin,Total,,8639
U.S. Senate,Harrison,Charles E. Grassley,Republican Party,5108
U.S. Senate,Harrison,Patty Judge,Democratic Party,1788
U.S. Senate,Harrison,Charles Aldrich,Libertarian Party,248
U.S. Senate,Harrison,Jim Hennager,New Independent Party Iowa,119
U.S. Senate,Harrison,Michael Luick-Thrams,Nominated by Petition,27
U.S. Senate,Harrison,Write-In,,8
U.S. Senate,Harrison,Under Votes,,252
U.S. Senate,Harrison,Over Votes,,2
U.S. Senate,Harrison,Total,,7552
U.S. Senate,Henry,Charles E. Grassley,Republican Party,6294
U.S. Senate,Henry,Patty Judge,Democratic Party,2535
U.S. Senate,Henry,Charles Aldrich,Libertarian Party,248
U.S. Senate,Henry,Jim Hennager,New Independent Party Iowa,109
U.S. Senate,Henry,Michael Luick-Thrams,Nominated by Petition,26
U.S. Senate,Henry,Write-In,,13
U.S. Senate,Henry,Under Votes,,269
U.S. Senate,Henry,Over Votes,,6
U.S. Senate,Henry,Total,,9500
U.S. Senate,Howard,Charles E. Grassley,Republican Party,2859
U.S. Senate,Howard,Patty Judge,Democratic Party,1459
U.S. Senate,Howard,Charles Aldrich,Libertarian Party,129
U.S. Senate,Howard,Jim Hennager,New Independent Party Iowa,50
U.S. Senate,Howard,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Howard,Write-In,,2
U.S. Senate,Howard,Under Votes,,125
U.S. Senate,Howard,Over Votes,,5
U.S. Senate,Howard,Total,,4640
U.S. Senate,Humboldt,Charles E. Grassley,Republican Party,3860
U.S. Senate,Humboldt,Patty Judge,Democratic Party,999
U.S. Senate,Humboldt,Charles Aldrich,Libertarian Party,110
U.S. Senate,Humboldt,Jim Hennager,New Independent Party Iowa,46
U.S. Senate,Humboldt,Michael Luick-Thrams,Nominated by Petition,18
U.S. Senate,Humboldt,Write-In,,6
U.S. Senate,Humboldt,Under Votes,,101
U.S. Senate,Humboldt,Over Votes,,1
U.S. Senate,Humboldt,Total,,5141
U.S. Senate,Ida,Charles E. Grassley,Republican Party,2868
U.S. Senate,Ida,Patty Judge,Democratic Party,590
U.S. Senate,Ida,Charles Aldrich,Libertarian Party,78
U.S. Senate,Ida,Jim Hennager,New Independent Party Iowa,24
U.S. Senate,Ida,Michael Luick-Thrams,Nominated by Petition,7
U.S. Senate,Ida,Write-In,,4
U.S. Senate,Ida,Under Votes,,77
U.S. Senate,Ida,Over Votes,,0
U.S. Senate,Ida,Total,,3648
U.S. Senate,Iowa,Charles E. Grassley,Republican Party,6062
U.S. Senate,Iowa,Patty Judge,Democratic Party,2443
U.S. Senate,Iowa,Charles Aldrich,Libertarian Party,209
U.S. Senate,Iowa,Jim Hennager,New Independent Party Iowa,82
U.S. Senate,Iowa,Michael Luick-Thrams,Nominated by Petition,24
U.S. Senate,Iowa,Write-In,,4
U.S. Senate,Iowa,Under Votes,,177
U.S. Senate,Iowa,Over Votes,,1
U.S. Senate,Iowa,Total,,9002
U.S. Senate,Jackson,Charles E. Grassley,Republican Party,6283
U.S. Senate,Jackson,Patty Judge,Democratic Party,3450
U.S. Senate,Jackson,Charles Aldrich,Libertarian Party,212
U.S. Senate,Jackson,Jim Hennager,New Independent Party Iowa,81
U.S. Senate,Jackson,Michael Luick-Thrams,Nominated by Petition,26
U.S. Senate,Jackson,Write-In,,5
U.S. Senate,Jackson,Under Votes,,444
U.S. Senate,Jackson,Over Votes,,3
U.S. Senate,Jackson,Total,,10504
U.S. Senate,Jasper,Charles E. Grassley,Republican Party,11688
U.S. Senate,Jasper,Patty Judge,Democratic Party,6170
U.S. Senate,Jasper,Charles Aldrich,Libertarian Party,525
U.S. Senate,Jasper,Jim Hennager,New Independent Party Iowa,421
U.S. Senate,Jasper,Michael Luick-Thrams,Nominated by Petition,31
U.S. Senate,Jasper,Write-In,,20
U.S. Senate,Jasper,Under Votes,,359
U.S. Senate,Jasper,Over Votes,,12
U.S. Senate,Jasper,Total,,19226
U.S. Senate,Jefferson,Charles E. Grassley,Republican Party,4094
U.S. Senate,Jefferson,Patty Judge,Democratic Party,3447
U.S. Senate,Jefferson,Charles Aldrich,Libertarian Party,271
U.S. Senate,Jefferson,Jim Hennager,New Independent Party Iowa,74
U.S. Senate,Jefferson,Michael Luick-Thrams,Nominated by Petition,31
U.S. Senate,Jefferson,Write-In,,19
U.S. Senate,Jefferson,Under Votes,,344
U.S. Senate,Jefferson,Over Votes,,5
U.S. Senate,Jefferson,Total,,8285
U.S. Senate,Johnson,Charles E. Grassley,Republican Party,28914
U.S. Senate,Johnson,Patty Judge,Democratic Party,42699
U.S. Senate,Johnson,Charles Aldrich,Libertarian Party,1891
U.S. Senate,Johnson,Jim Hennager,New Independent Party Iowa,827
U.S. Senate,Johnson,Michael Luick-Thrams,Nominated by Petition,378
U.S. Senate,Johnson,Write-In,,124
U.S. Senate,Johnson,Under Votes,,2581
U.S. Senate,Johnson,Over Votes,,62
U.S. Senate,Johnson,Total,,77476
U.S. Senate,Jones,Charles E. Grassley,Republican Party,6551
U.S. Senate,Jones,Patty Judge,Democratic Party,3063
U.S. Senate,Jones,Charles Aldrich,Libertarian Party,261
U.S. Senate,Jones,Jim Hennager,New Independent Party Iowa,172
U.S. Senate,Jones,Michael Luick-Thrams,Nominated by Petition,18
U.S. Senate,Jones,Write-In,,6
U.S. Senate,Jones,Under Votes,,160
U.S. Senate,Jones,Over Votes,,5
U.S. Senate,Jones,Total,,10236
U.S. Senate,Keokuk,Charles E. Grassley,Republican Party,3697
U.S. Senate,Keokuk,Patty Judge,Democratic Party,1045
U.S. Senate,Keokuk,Charles Aldrich,Libertarian Party,111
U.S. Senate,Keokuk,Jim Hennager,New Independent Party Iowa,43
U.S. Senate,Keokuk,Michael Luick-Thrams,Nominated by Petition,16
U.S. Senate,Keokuk,Write-In,,3
U.S. Senate,Keokuk,Under Votes,,119
U.S. Senate,Keokuk,Over Votes,,1
U.S. Senate,Keokuk,Total,,5035
U.S. Senate,Kossuth,Charles E. Grassley,Republican Party,6027
U.S. Senate,Kossuth,Patty Judge,Democratic Party,2247
U.S. Senate,Kossuth,Charles Aldrich,Libertarian Party,114
U.S. Senate,Kossuth,Jim Hennager,New Independent Party Iowa,157
U.S. Senate,Kossuth,Michael Luick-Thrams,Nominated by Petition,24
U.S. Senate,Kossuth,Write-In,,5
U.S. Senate,Kossuth,Under Votes,,164
U.S. Senate,Kossuth,Over Votes,,4
U.S. Senate,Kossuth,Total,,8742
U.S. Senate,Lee,Charles E. Grassley,Republican Party,8441
U.S. Senate,Lee,Patty Judge,Democratic Party,6382
U.S. Senate,Lee,Charles Aldrich,Libertarian Party,504
U.S. Senate,Lee,Jim Hennager,New Independent Party Iowa,474
U.S. Senate,Lee,Michael Luick-Thrams,Nominated by Petition,26
U.S. Senate,Lee,Write-In,,19
