office,candidate,party,county,votes
President/Vice President,LaRouche / Davis,Nominated by Petition,BUCHANAN,25
President/Vice President,Mondale / Ferraro,Democratic,BUCHANAN,4129
President/Vice President,Reagan / Bush,Republican,BUCHANAN,4965
President/Vice President,Hall / Davis,Communist,BUCHANAN,2
President/Vice President,Bergland / Lewis,Libertarian,BUENA VISTA,33
President/Vice President,Baker / Alger,Big Deal,BUENA VISTA,13
President/Vice President,Serrette / Ross,Nominated by Petition,BUENA VISTA,3
President/Vice President,Mason / Zimmerman,Socialist Workers,BUENA VISTA,0
President/Vice President,LaRouche / Davis,Nominated by Petition,BUENA VISTA,43
President/Vice President,Mondale / Ferraro,Democratic,BUENA VISTA,4109
President/Vice President,Reagan / Bush,Republican,BUENA VISTA,5193
President/Vice President,Hall / Davis,Communist,BUENA VISTA,1
President/Vice President,Bergland / Lewis,Libertarian,BUTLER,3
President/Vice President,Baker / Alger,Big Deal,BUTLER,5
President/Vice President,Serrette / Ross,Nominated by Petition,BUTLER,1
President/Vice President,Mason / Zimmerman,Socialist Workers,BUTLER,1
President/Vice President,LaRouche / Davis,Nominated by Petition,BUTLER,21
President/Vice President,Mondale / Ferraro,Democratic,BUTLER,2323
President/Vice President,Reagan / Bush,Republican,BUTLER,4570
President/Vice President,Hall / Davis,Communist,BUTLER,0
President/Vice President,Bergland / Lewis,Libertarian,CALHOUN,9
President/Vice President,Baker / Alger,Big Deal,CALHOUN,2
President/Vice President,Serrette / Ross,Nominated by Petition,CALHOUN,3
President/Vice President,Mason / Zimmerman,Socialist Workers,CALHOUN,0
President/Vice President,LaRouche / Davis,Nominated by Petition,CALHOUN,31
President/Vice President,Mondale / Ferraro,Democratic,CALHOUN,2541
President/Vice President,Reagan / Bush,Republican,CALHOUN,3311
President/Vice President,Hall / Davis,Communist,CALHOUN,1
President/Vice President,Bergland / Lewis,Libertarian,CARROLL,9
President/Vice President,Baker / Alger,Big Deal,CARROLL,9
President/Vice President,Serrette / Ross,Nominated by Petition,CARROLL,1
President/Vice President,Mason / Zimmerman,Socialist Workers,CARROLL,3
President/Vice President,LaRouche / Davis,Nominated by Petition,CARROLL,65
President/Vice President,Mondale / Ferraro,Democratic,CARROLL,4960
President/Vice President,Reagan / Bush,Republican,CARROLL,5021
President/Vice President,Hall / Davis,Communist,CARROLL,3
President/Vice President,Bergland / Lewis,Libertarian,CASS,12
President/Vice President,Baker / Alger,Big Deal,CASS,6
President/Vice President,Serrette / Ross,Nominated by Petition,CASS,3
President/Vice President,Mason / Zimmerman,Socialist Workers,CASS,0
President/Vice President,LaRouche / Davis,Nominated by Petition,CASS,35
President/Vice President,Mondale / Ferraro,Democratic,CASS,2417
President/Vice President,Reagan / Bush,Republican,CASS,5053
President/Vice President,Hall / Davis,Communist,CASS,2
President/Vice President,Bergland / Lewis,Libertarian,CEDAR,16
President/Vice President,Baker / Alger,Big Deal,CEDAR,5
President/Vice President,Serrette / Ross,Nominated by Petition,CEDAR,1
President/Vice President,Mason / Zimmerman,Socialist Workers,CEDAR,1
President/Vice President,LaRouche / Davis,Nominated by Petition,CEDAR,21
President/Vice President,Mondale / Ferraro,Democratic,CEDAR,3086
President/Vice President,Reagan / Bush,Republican,CEDAR,4617
President/Vice President,Hall / Davis,Communist,CEDAR,1
President/Vice President,Bergland / Lewis,Libertarian,CERRO GORDO,18
President/Vice President,Baker / Alger,Big Deal,CERRO GORDO,12
President/Vice President,Serrette / Ross,Nominated by Petition,CERRO GORDO,10
President/Vice President,Mason / Zimmerman,Socialist Workers,CERRO GORDO,1
President/Vice President,LaRouche / Davis,Nominated by Petition,CERRO GORDO,118
President/Vice President,Mondale / Ferraro,Democratic,CERRO GORDO,11570
President/Vice President,Reagan / Bush,Republican,CERRO GORDO,11214
President/Vice President,Hall / Davis,Communist,CERRO GORDO,2
President/Vice President,Bergland / Lewis,Libertarian,CHEROKEE,6
President/Vice President,Baker / Alger,Big Deal,CHEROKEE,7
President/Vice President,Serrette / Ross,Nominated by Petition,CHEROKEE,3
President/Vice President,Mason / Zimmerman,Socialist Workers,CHEROKEE,0
President/Vice President,LaRouche / Davis,Nominated by Petition,CHEROKEE,46
President/Vice President,Mondale / Ferraro,Democratic,CHEROKEE,3349
President/Vice President,Reagan / Bush,Republican,CHEROKEE,4046
President/Vice President,Hall / Davis,Communist,CHEROKEE,2
President/Vice President,Bergland / Lewis,Libertarian,CHICKASAW,6
President/Vice President,Baker / Alger,Big Deal,CHICKASAW,9
President/Vice President,Serrette / Ross,Nominated by Petition,CHICKASAW,3
President/Vice President,Mason / Zimmerman,Socialist Workers,CHICKASAW,2
President/Vice President,LaRouche / Davis,Nominated by Petition,CHICKASAW,48
President/Vice President,Mondale / Ferraro,Democratic,CHICKASAW,3186
President/Vice President,Reagan / Bush,Republican,CHICKASAW,3661
President/Vice President,Hall / Davis,Communist,CHICKASAW,1
President/Vice President,Bergland / Lewis,Libertarian,CLARKE,0
President/Vice President,Baker / Alger,Big Deal,CLARKE,5
President/Vice President,Serrette / Ross,Nominated by Petition,CLARKE,1
President/Vice President,Mason / Zimmerman,Socialist Workers,CLARKE,1
President/Vice President,LaRouche / Davis,Nominated by Petition,CLARKE,12
President/Vice President,Mondale / Ferraro,Democratic,CLARKE,2030
President/Vice President,Reagan / Bush,Republican,CLARKE,2262
President/Vice President,Hall / Davis,Communist,CLARKE,0
President/Vice President,Bergland / Lewis,Libertarian,CLAY,9
President/Vice President,Baker / Alger,Big Deal,CLAY,8
President/Vice President,Serrette / Ross,Nominated by Petition,CLAY,7
President/Vice President,Mason / Zimmerman,Socialist Workers,CLAY,1
President/Vice President,LaRouche / Davis,Nominated by Petition,CLAY,57
President/Vice President,Mondale / Ferraro,Democratic,CLAY,3774
President/Vice President,Reagan / Bush,Republican,CLAY,4450
President/Vice President,Hall / Davis,Communist,CLAY,4
President/Vice President,Bergland / Lewis,Libertarian,CLAYTON,8
President/Vice President,Baker / Alger,Big Deal,CLAYTON,6
President/Vice President,Serrette / Ross,Nominated by Petition,CLAYTON,5
President/Vice President,Mason / Zimmerman,Socialist Workers,CLAYTON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,CLAYTON,54
President/Vice President,Mondale / Ferraro,Democratic,CLAYTON,3446
President/Vice President,Reagan / Bush,Republican,CLAYTON,5029
President/Vice President,Hall / Davis,Communist,CLAYTON,1
President/Vice President,Bergland / Lewis,Libertarian,CLINTON,33
President/Vice President,Baker / Alger,Big Deal,CLINTON,32
President/Vice President,Serrette / Ross,Nominated by Petition,CLINTON,13
President/Vice President,Mason / Zimmerman,Socialist Workers,CLINTON,5
President/Vice President,LaRouche / Davis,Nominated by Petition,CLINTON,150
President/Vice President,Mondale / Ferraro,Democratic,CLINTON,11240
President/Vice President,Reagan / Bush,Republican,CLINTON,13914
President/Vice President,Hall / Davis,Communist,CLINTON,9
President/Vice President,Bergland / Lewis,Libertarian,CRAWFORD,9
President/Vice President,Baker / Alger,Big Deal,CRAWFORD,7
President/Vice President,Serrette / Ross,Nominated by Petition,CRAWFORD,2
President/Vice President,Mason / Zimmerman,Socialist Workers,CRAWFORD,1
President/Vice President,LaRouche / Davis,Nominated by Petition,CRAWFORD,82
President/Vice President,Mondale / Ferraro,Democratic,CRAWFORD,3396
President/Vice President,Reagan / Bush,Republican,CRAWFORD,4552
President/Vice President,Hall / Davis,Communist,CRAWFORD,0
President/Vice President,Bergland / Lewis,Libertarian,DALLAS,15
President/Vice President,Baker / Alger,Big Deal,DALLAS,4
President/Vice President,Serrette / Ross,Nominated by Petition,DALLAS,7
President/Vice President,Mason / Zimmerman,Socialist Workers,DALLAS,4
President/Vice President,LaRouche / Davis,Nominated by Petition,DALLAS,17
President/Vice President,Mondale / Ferraro,Democratic,DALLAS,6564
President/Vice President,Reagan / Bush,Republican,DALLAS,6080
President/Vice President,Hall / Davis,Communist,DALLAS,0
President/Vice President,Bergland / Lewis,Libertarian,DAVIS,2
President/Vice President,Baker / Alger,Big Deal,DAVIS,7
President/Vice President,Serrette / Ross,Nominated by Petition,DAVIS,2
President/Vice President,Mason / Zimmerman,Socialist Workers,DAVIS,3
President/Vice President,LaRouche / Davis,Nominated by Petition,DAVIS,19
President/Vice President,Mondale / Ferraro,Democratic,DAVIS,2187
President/Vice President,Reagan / Bush,Republican,DAVIS,1956
President/Vice President,Hall / Davis,Communist,DAVIS,0
President/Vice President,Bergland / Lewis,Libertarian,DECATUR,4
President/Vice President,Baker / Alger,Big Deal,DECATUR,2
President/Vice President,Serrette / Ross,Nominated by Petition,DECATUR,2
President/Vice President,Mason / Zimmerman,Socialist Workers,DECATUR,0
President/Vice President,LaRouche / Davis,Nominated by Petition,DECATUR,15
President/Vice President,Mondale / Ferraro,Democratic,DECATUR,2098
President/Vice President,Reagan / Bush,Republican,DECATUR,2104
President/Vice President,Hall / Davis,Communist,DECATUR,2
President/Vice President,Bergland / Lewis,Libertarian,DELAWARE,4
President/Vice President,Baker / Alger,Big Deal,DELAWARE,4
President/Vice President,Serrette / Ross,Nominated by Petition,DELAWARE,7
President/Vice President,Mason / Zimmerman,Socialist Workers,DELAWARE,0
President/Vice President,LaRouche / Davis,Nominated by Petition,DELAWARE,45
President/Vice President,Mondale / Ferraro,Democratic,DELAWARE,3158
President/Vice President,Reagan / Bush,Republican,DELAWARE,4769
President/Vice President,Hall / Davis,Communist,DELAWARE,2
President/Vice President,Bergland / Lewis,Libertarian,DES MOINES,29
President/Vice President,Baker / Alger,Big Deal,DES MOINES,13
President/Vice President,Serrette / Ross,Nominated by Petition,DES MOINES,3
President/Vice President,Mason / Zimmerman,Socialist Workers,DES MOINES,4
President/Vice President,LaRouche / Davis,Nominated by Petition,DES MOINES,53
President/Vice President,Mondale / Ferraro,Democratic,DES MOINES,11173
President/Vice President,Reagan / Bush,Republican,DES MOINES,9559
President/Vice President,Hall / Davis,Communist,DES MOINES,5
President/Vice President,Bergland / Lewis,Libertarian,DICKINSON,9
President/Vice President,Baker / Alger,Big Deal,DICKINSON,5
President/Vice President,Serrette / Ross,Nominated by Petition,DICKINSON,7
President/Vice President,Mason / Zimmerman,Socialist Workers,DICKINSON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,DICKINSON,58
President/Vice President,Mondale / Ferraro,Democratic,DICKINSON,3025
President/Vice President,Reagan / Bush,Republican,DICKINSON,4064
President/Vice President,Hall / Davis,Communist,DICKINSON,2
President/Vice President,Bergland / Lewis,Libertarian,DUBUQUE,50
President/Vice President,Baker / Alger,Big Deal,DUBUQUE,37
President/Vice President,Serrette / Ross,Nominated by Petition,DUBUQUE,17
President/Vice President,Mason / Zimmerman,Socialist Workers,DUBUQUE,7
President/Vice President,LaRouche / Davis,Nominated by Petition,DUBUQUE,234
President/Vice President,Mondale / Ferraro,Democratic,DUBUQUE,21876
President/Vice President,Reagan / Bush,Republican,DUBUQUE,19239
President/Vice President,Hall / Davis,Communist,DUBUQUE,7
President/Vice President,Bergland / Lewis,Libertarian,EMMET,4
President/Vice President,Baker / Alger,Big Deal,EMMET,0
President/Vice President,Serrette / Ross,Nominated by Petition,EMMET,1
President/Vice President,Mason / Zimmerman,Socialist Workers,EMMET,0
President/Vice President,LaRouche / Davis,Nominated by Petition,EMMET,26
President/Vice President,Mondale / Ferraro,Democratic,EMMET,2746
President/Vice President,Reagan / Bush,Republican,EMMET,2946
President/Vice President,Hall / Davis,Communist,EMMET,1
President/Vice President,Bergland / Lewis,Libertarian,FAYETTE,16
President/Vice President,Baker / Alger,Big Deal,FAYETTE,14
President/Vice President,Serrette / Ross,Nominated by Petition,FAYETTE,5
President/Vice President,Mason / Zimmerman,Socialist Workers,FAYETTE,4
President/Vice President,LaRouche / Davis,Nominated by Petition,FAYETTE,69
President/Vice President,Mondale / Ferraro,Democratic,FAYETTE,4677
President/Vice President,Reagan / Bush,Republican,FAYETTE,6505
President/Vice President,Hall / Davis,Communist,FAYETTE,1
President/Vice President,Bergland / Lewis,Libertarian,FLOYD,7
President/Vice President,Baker / Alger,Big Deal,FLOYD,9
President/Vice President,Serrette / Ross,Nominated by Petition,FLOYD,1
President/Vice President,Mason / Zimmerman,Socialist Workers,FLOYD,1
President/Vice President,LaRouche / Davis,Nominated by Petition,FLOYD,39
President/Vice President,Mondale / Ferraro,Democratic,FLOYD,4154
President/Vice President,Reagan / Bush,Republican,FLOYD,4341
President/Vice President,Hall / Davis,Communist,FLOYD,1
President/Vice President,Bergland / Lewis,Libertarian,FRANKLIN,3
President/Vice President,Baker / Alger,Big Deal,FRANKLIN,4
President/Vice President,Serrette / Ross,Nominated by Petition,FRANKLIN,4
President/Vice President,Mason / Zimmerman,Socialist Workers,FRANKLIN,1
President/Vice President,LaRouche / Davis,Nominated by Petition,FRANKLIN,48
President/Vice President,Mondale / Ferraro,Democratic,FRANKLIN,2349
President/Vice President,Reagan / Bush,Republican,FRANKLIN,3129
President/Vice President,Hall / Davis,Communist,FRANKLIN,1
President/Vice President,Bergland / Lewis,Libertarian,FREMONT,3
President/Vice President,Baker / Alger,Big Deal,FREMONT,3
President/Vice President,Serrette / Ross,Nominated by Petition,FREMONT,0
President/Vice President,Mason / Zimmerman,Socialist Workers,FREMONT,1
President/Vice President,LaRouche / Davis,Nominated by Petition,FREMONT,25
President/Vice President,Mondale / Ferraro,Democratic,FREMONT,1426
President/Vice President,Reagan / Bush,Republican,FREMONT,2686
President/Vice President,Hall / Davis,Communist,FREMONT,1
President/Vice President,Bergland / Lewis,Libertarian,GREENE,13
President/Vice President,Baker / Alger,Big Deal,GREENE,5
President/Vice President,Serrette / Ross,Nominated by Petition,GREENE,2
President/Vice President,Mason / Zimmerman,Socialist Workers,GREENE,1
President/Vice President,LaRouche / Davis,Nominated by Petition,GREENE,118
President/Vice President,Mondale / Ferraro,Democratic,GREENE,2831
President/Vice President,Reagan / Bush,Republican,GREENE,2579
President/Vice President,Hall / Davis,Communist,GREENE,3
President/Vice President,Bergland / Lewis,Libertarian,GRUNDY,7
President/Vice President,Baker / Alger,Big Deal,GRUNDY,9
President/Vice President,Serrette / Ross,Nominated by Petition,GRUNDY,2
President/Vice President,Mason / Zimmerman,Socialist Workers,GRUNDY,0
President/Vice President,LaRouche / Davis,Nominated by Petition,GRUNDY,55
President/Vice President,Mondale / Ferraro,Democratic,GRUNDY,1915
President/Vice President,Reagan / Bush,Republican,GRUNDY,4527
President/Vice President,Hall / Davis,Communist,GRUNDY,0
President/Vice President,Bergland / Lewis,Libertarian,GUTHRIE,6
President/Vice President,Baker / Alger,Big Deal,GUTHRIE,7
President/Vice President,Serrette / Ross,Nominated by Petition,GUTHRIE,2
President/Vice President,Mason / Zimmerman,Socialist Workers,GUTHRIE,3
President/Vice President,LaRouche / Davis,Nominated by Petition,GUTHRIE,44
President/Vice President,Mondale / Ferraro,Democratic,GUTHRIE,2517
President/Vice President,Reagan / Bush,Republican,GUTHRIE,2783
President/Vice President,Hall / Davis,Communist,GUTHRIE,1
President/Vice President,Bergland / Lewis,Libertarian,HAMILTON,15
President/Vice President,Baker / Alger,Big Deal,HAMILTON,8
President/Vice President,Serrette / Ross,Nominated by Petition,HAMILTON,8
President/Vice President,Mason / Zimmerman,Socialist Workers,HAMILTON,2
President/Vice President,LaRouche / Davis,Nominated by Petition,HAMILTON,42
President/Vice President,Mondale / Ferraro,Democratic,HAMILTON,3330
President/Vice President,Reagan / Bush,Republican,HAMILTON,4279
President/Vice President,Hall / Davis,Communist,HAMILTON,3
President/Vice President,Bergland / Lewis,Libertarian,HANCOCK,5
President/Vice President,Baker / Alger,Big Deal,HANCOCK,3
President/Vice President,Serrette / Ross,Nominated by Petition,HANCOCK,2
President/Vice President,Mason / Zimmerman,Socialist Workers,HANCOCK,2
President/Vice President,LaRouche / Davis,Nominated by Petition,HANCOCK,22
President/Vice President,Mondale / Ferraro,Democratic,HANCOCK,2539
President/Vice President,Reagan / Bush,Republican,HANCOCK,3362
President/Vice President,Hall / Davis,Communist,HANCOCK,0
President/Vice President,Bergland / Lewis,Libertarian,HARDIN,11
President/Vice President,Baker / Alger,Big Deal,HARDIN,7
President/Vice President,Serrette / Ross,Nominated by Petition,HARDIN,5
President/Vice President,Mason / Zimmerman,Socialist Workers,HARDIN,1
President/Vice President,LaRouche / Davis,Nominated by Petition,HARDIN,29
President/Vice President,Mondale / Ferraro,Democratic,HARDIN,4477
President/Vice President,Reagan / Bush,Republican,HARDIN,5195
President/Vice President,Hall / Davis,Communist,HARDIN,1
President/Vice President,Bergland / Lewis,Libertarian,HARRISON,2
President/Vice President,Baker / Alger,Big Deal,HARRISON,1
President/Vice President,Serrette / Ross,Nominated by Petition,HARRISON,1
President/Vice President,Mason / Zimmerman,Socialist Workers,HARRISON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,HARRISON,21
President/Vice President,Mondale / Ferraro,Democratic,HARRISON,2495
President/Vice President,Reagan / Bush,Republican,HARRISON,4352
President/Vice President,Hall / Davis,Communist,HARRISON,0
President/Vice President,Bergland / Lewis,Libertarian,HENRY,15
President/Vice President,Baker / Alger,Big Deal,HENRY,5
President/Vice President,Serrette / Ross,Nominated by Petition,HENRY,3
President/Vice President,Mason / Zimmerman,Socialist Workers,HENRY,1
President/Vice President,LaRouche / Davis,Nominated by Petition,HENRY,27
President/Vice President,Mondale / Ferraro,Democratic,HENRY,3377
President/Vice President,Reagan / Bush,Republican,HENRY,4516
President/Vice President,Hall / Davis,Communist,HENRY,0
President/Vice President,Bergland / Lewis,Libertarian,HOWARD,6
President/Vice President,Baker / Alger,Big Deal,HOWARD,8
President/Vice President,Serrette / Ross,Nominated by Petition,HOWARD,0
President/Vice President,Mason / Zimmerman,Socialist Workers,HOWARD,0
President/Vice President,LaRouche / Davis,Nominated by Petition,HOWARD,19
President/Vice President,Mondale / Ferraro,Democratic,HOWARD,2135
President/Vice President,Reagan / Bush,Republican,HOWARD,2718
President/Vice President,Hall / Davis,Communist,HOWARD,0
President/Vice President,Bergland / Lewis,Libertarian,HUMBOLDT,6
President/Vice President,Baker / Alger,Big Deal,HUMBOLDT,5
President/Vice President,Serrette / Ross,Nominated by Petition,HUMBOLDT,2
President/Vice President,Mason / Zimmerman,Socialist Workers,HUMBOLDT,0
President/Vice President,LaRouche / Davis,Nominated by Petition,HUMBOLDT,45
President/Vice President,Mondale / Ferraro,Democratic,HUMBOLDT,2406
President/Vice President,Reagan / Bush,Republican,HUMBOLDT,3396
President/Vice President,Hall / Davis,Communist,HUMBOLDT,1
President/Vice President,Bergland / Lewis,Libertarian,IDA,2
President/Vice President,Baker / Alger,Big Deal,IDA,3
President/Vice President,Serrette / Ross,Nominated by Petition,IDA,1
President/Vice President,Mason / Zimmerman,Socialist Workers,IDA,0
President/Vice President,LaRouche / Davis,Nominated by Petition,IDA,18
President/Vice President,Mondale / Ferraro,Democratic,IDA,1559
President/Vice President,Reagan / Bush,Republican,IDA,2618
President/Vice President,Hall / Davis,Communist,IDA,0
President/Vice President,Bergland / Lewis,Libertarian,IOWA,7
President/Vice President,Baker / Alger,Big Deal,IOWA,9
President/Vice President,Serrette / Ross,Nominated by Petition,IOWA,1
President/Vice President,Mason / Zimmerman,Socialist Workers,IOWA,1
President/Vice President,LaRouche / Davis,Nominated by Petition,IOWA,63
President/Vice President,Mondale / Ferraro,Democratic,IOWA,2815
President/Vice President,Reagan / Bush,Republican,IOWA,4352
President/Vice President,Hall / Davis,Communist,IOWA,3
President/Vice President,Bergland / Lewis,Libertarian,JACKSON,19
President/Vice President,Baker / Alger,Big Deal,JACKSON,17
President/Vice President,Serrette / Ross,Nominated by Petition,JACKSON,7
President/Vice President,Mason / Zimmerman,Socialist Workers,JACKSON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,JACKSON,81
President/Vice President,Mondale / Ferraro,Democratic,JACKSON,4400
President/Vice President,Reagan / Bush,Republican,JACKSON,4811
President/Vice President,Hall / Davis,Communist,JACKSON,1
President/Vice President,Bergland / Lewis,Libertarian,JASPER,20
President/Vice President,Baker / Alger,Big Deal,JASPER,9
President/Vice President,Serrette / Ross,Nominated by Petition,JASPER,5
President/Vice President,Mason / Zimmerman,Socialist Workers,JASPER,2
President/Vice President,LaRouche / Davis,Nominated by Petition,JASPER,50
President/Vice President,Mondale / Ferraro,Democratic,JASPER,8023
President/Vice President,Reagan / Bush,Republican,JASPER,8576
President/Vice President,Hall / Davis,Communist,JASPER,4
President/Vice President,Bergland / Lewis,Libertarian,JEFFERSON,13
President/Vice President,Baker / Alger,Big Deal,JEFFERSON,2
President/Vice President,Serrette / Ross,Nominated by Petition,JEFFERSON,1
President/Vice President,Mason / Zimmerman,Socialist Workers,JEFFERSON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,JEFFERSON,9
President/Vice President,Mondale / Ferraro,Democratic,JEFFERSON,2961
President/Vice President,Reagan / Bush,Republican,JEFFERSON,4727
President/Vice President,Hall / Davis,Communist,JEFFERSON,0
President/Vice President,Bergland / Lewis,Libertarian,JOHNSON,127
President/Vice President,Baker / Alger,Big Deal,JOHNSON,16
President/Vice President,Serrette / Ross,Nominated by Petition,JOHNSON,8
President/Vice President,Mason / Zimmerman,Socialist Workers,JOHNSON,24
President/Vice President,LaRouche / Davis,Nominated by Petition,JOHNSON,54
President/Vice President,Mondale / Ferraro,Democratic,JOHNSON,26000
President/Vice President,Reagan / Bush,Republican,JOHNSON,18677
President/Vice President,Hall / Davis,Communist,JOHNSON,23
President/Vice President,Bergland / Lewis,Libertarian,JONES,12
President/Vice President,Baker / Alger,Big Deal,JONES,4
President/Vice President,Serrette / Ross,Nominated by Petition,JONES,1
President/Vice President,Mason / Zimmerman,Socialist Workers,JONES,1
President/Vice President,LaRouche / Davis,Nominated by Petition,JONES,27
President/Vice President,Mondale / Ferraro,Democratic,JONES,3825
President/Vice President,Reagan / Bush,Republican,JONES,4907
President/Vice President,Hall / Davis,Communist,JONES,1
President/Vice President,Bergland / Lewis,Libertarian,KEOKUK,2
President/Vice President,Baker / Alger,Big Deal,KEOKUK,10
President/Vice President,Serrette / Ross,Nominated by Petition,KEOKUK,3
President/Vice President,Mason / Zimmerman,Socialist Workers,KEOKUK,1
President/Vice President,LaRouche / Davis,Nominated by Petition,KEOKUK,64
President/Vice President,Mondale / Ferraro,Democratic,KEOKUK,2649
President/Vice President,Reagan / Bush,Republican,KEOKUK,2913
President/Vice President,Hall / Davis,Communist,KEOKUK,0
President/Vice President,Bergland / Lewis,Libertarian,KOSSUTH,10
President/Vice President,Baker / Alger,Big Deal,KOSSUTH,3
President/Vice President,Serrette / Ross,Nominated by Petition,KOSSUTH,7
President/Vice President,Mason / Zimmerman,Socialist Workers,KOSSUTH,0
President/Vice President,LaRouche / Davis,Nominated by Petition,KOSSUTH,78
President/Vice President,Mondale / Ferraro,Democratic,KOSSUTH,4838
President/Vice President,Reagan / Bush,Republican,KOSSUTH,4872
President/Vice President,Hall / Davis,Communist,KOSSUTH,3
